ID:100, Name:Shailee, Major:ME, Enrollment:No, Year:Junior, Age:11
ID:86, Name:Lean, Major:AA, Enrollment:No, Year:Senior, Age:17
ID:67, Name:Boyan, Major:ECE, Enrollment:Yes, Year:Senior, Age:18
ID:21, Name:Annamarie, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:34, Name:Aleeah, Major:CHE, Enrollment:No, Year:Senior, Age:29
ID:27, Name:Alanis, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:29
ID:54, Name:Adylen, Major:ME, Enrollment:Yes, Year:Freshman, Age:14
ID:47, Name:Aamori, Major:IE, Enrollment:Yes, Year:Junior, Age:22
ID:62, Name:Adrielle, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:21
ID:71, Name:Alivea, Major:AA, Enrollment:No, Year:Senior, Age:27
ID:85, Name:Alicyn, Major:ME, Enrollment:Yes, Year:Sophomore, Age:26
ID:13, Name:Amora, Major:CS, Enrollment:Yes, Year:Sophomore, Age:11
ID:9, Name:Betzabe, Major:ABE, Enrollment:No, Year:Freshman, Age:22
ID:61, Name:Ara, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:7, Name:Arsh, Major:CS, Enrollment:Yes, Year:Sophomore, Age:23
ID:18, Name:Dillyn, Major:AA, Enrollment:No, Year:Senior, Age:16
ID:82, Name:Castle, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:5, Name:Cadin, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:17, Name:Breon, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:70, Name:Caraline, Major:AA, Enrollment:No, Year:Sophomore, Age:10
ID:24, Name:Davyon, Major:BME, Enrollment:No, Year:Senior, Age:22
ID:39, Name:Crixus, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:12, Name:Clementina, Major:ECE, Enrollment:No, Year:Senior, Age:16
ID:83, Name:Davyn, Major:ECE, Enrollment:Yes, Year:Junior, Age:17
ID:64, Name:Devinn, Major:IE, Enrollment:Yes, Year:Junior, Age:19
ID:75, Name:Deluca, Major:ABE, Enrollment:Yes, Year:Junior, Age:26
ID:94, Name:Kenan, Major:CHE, Enrollment:No, Year:Freshman, Age:23
ID:19, Name:Elsey, Major:ECE, Enrollment:No, Year:Sophomore, Age:28
ID:87, Name:Elber, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:21
ID:48, Name:Eastin, Major:CHE, Enrollment:No, Year:Freshman, Age:11
ID:68, Name:Dymir, Major:ECE, Enrollment:Yes, Year:Freshman, Age:12
ID:95, Name:Eziel, Major:IE, Enrollment:Yes, Year:Junior, Age:26
ID:91, Name:Erion, Major:CHE, Enrollment:Yes, Year:Junior, Age:10
ID:42, Name:Gurnoor, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:37, Name:Garet, Major:CS, Enrollment:Yes, Year:Senior, Age:15
ID:6, Name:Jaimee, Major:IE, Enrollment:No, Year:Senior, Age:25
ID:66, Name:Jadelynn, Major:ECE, Enrollment:Yes, Year:Senior, Age:21
ID:35, Name:Jerick, Major:ABE, Enrollment:No, Year:Junior, Age:18
ID:15, Name:Jaycelynn, Major:ABE, Enrollment:No, Year:Junior, Age:23
ID:4, Name:Kahloni, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:22
ID:74, Name:Jessi, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:45, Name:Jonael, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:2, Name:Kahan, Major:IE, Enrollment:Yes, Year:Senior, Age:29
ID:59, Name:Karisma, Major:ABE, Enrollment:No, Year:Junior, Age:26
ID:56, Name:Keen, Major:IE, Enrollment:Yes, Year:Freshman, Age:25
ID:49, Name:Knightly, Major:ECE, Enrollment:Yes, Year:Senior, Age:19
ID:89, Name:Matilyn, Major:AA, Enrollment:Yes, Year:Junior, Age:28
ID:73, Name:Leeanne, Major:CS, Enrollment:Yes, Year:Freshman, Age:22
ID:11, Name:Liston, Major:AA, Enrollment:No, Year:Junior, Age:11
ID:88, Name:Marysue, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:52, Name:Saffron, Major:ECE, Enrollment:No, Year:Freshman, Age:14
ID:23, Name:Novalei, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:78, Name:Milayna, Major:ME, Enrollment:No, Year:Freshman, Age:29
ID:63, Name:Mavery, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:69, Name:Maycol, Major:ECE, Enrollment:Yes, Year:Senior, Age:23
ID:77, Name:Osirus, Major:AA, Enrollment:Yes, Year:Junior, Age:24
ID:57, Name:Reyn, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:33, Name:Ramey, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:36, Name:Sebastiano, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:80, Name:Sona, Major:CS, Enrollment:Yes, Year:Freshman, Age:28
ID:92, Name:Shayla, Major:BME, Enrollment:No, Year:Senior, Age:27
ID:8, Name:Sohail, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:43, Name:Sumeya, Major:AA, Enrollment:Yes, Year:Sophomore, Age:28
ID:93, Name:Thien, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:30, Name:Zacariah, Major:AA, Enrollment:No, Year:Sophomore, Age:15
ID:76, Name:Tinsley, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:96, Name:Xiah, Major:ME, Enrollment:No, Year:Senior, Age:11
Write to db
