ID:20, Name:Sattam, Major:AA, Enrollment:No, Year:Senior, Age:22
ID:12, Name:Wynnie, Major:IE, Enrollment:Yes, Year:Freshman, Age:15
ID:7, Name:Ela, Major:ECE, Enrollment:No, Year:Freshman, Age:13
ID:3, Name:Alexandros, Major:IE, Enrollment:Yes, Year:Junior, Age:12
ID:19, Name:Sophy, Major:IE, Enrollment:No, Year:Sophomore, Age:11
ID:11, Name:Yosief, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:15, Name:Chanler, Major:CHE, Enrollment:No, Year:Sophomore, Age:22
ID:17, Name:Dylilah, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:16, Name:Mariya, Major:CHE, Enrollment:Yes, Year:Junior, Age:15
ID:8, Name:Winchester, Major:CHE, Enrollment:Yes, Year:Junior, Age:21
ID:13, Name:Juston, Major:ECE, Enrollment:Yes, Year:Freshman, Age:25
ID:2, Name:Anzar, Major:IE, Enrollment:Yes, Year:Senior, Age:22
ID:5, Name:Weslin, Major:CS, Enrollment:Yes, Year:Sophomore, Age:22
ID:6, Name:Afrah, Major:CS, Enrollment:Yes, Year:Freshman, Age:22
Write to db
