ID:690, Name:Atreyu, Major:ME, Enrollment:Yes, Year:Junior, Age:16
ID:239, Name:Amyla, Major:IE, Enrollment:No, Year:Senior, Age:15
ID:299, Name:Dyna, Major:CS, Enrollment:No, Year:Sophomore, Age:13
ID:430, Name:Baker, Major:CS, Enrollment:No, Year:Junior, Age:11
ID:543, Name:Shariya, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:77, Name:Jurnei, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:76, Name:Leela, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:541, Name:Aira, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:534, Name:Paije, Major:ABE, Enrollment:No, Year:Senior, Age:11
ID:556, Name:Theadora, Major:CS, Enrollment:Yes, Year:Senior, Age:10
ID:148, Name:Gilda, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:602, Name:Adelis, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:387, Name:Riyan, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:284, Name:Symphani, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:172, Name:Malo, Major:CS, Enrollment:No, Year:Freshman, Age:10
ID:595, Name:Lovely, Major:ECE, Enrollment:Yes, Year:Junior, Age:10
ID:619, Name:Keilon, Major:ME, Enrollment:No, Year:Senior, Age:10
ID:173, Name:Adwit, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:467, Name:Leonna, Major:BME, Enrollment:Yes, Year:Senior, Age:10
ID:225, Name:Lucielle, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:345, Name:Lilyann, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:48, Name:Ceasar, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:466, Name:Motunrayo, Major:ECE, Enrollment:No, Year:Freshman, Age:10
ID:112, Name:Olani, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:195, Name:Roper, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:483, Name:Ataliah, Major:BME, Enrollment:No, Year:Junior, Age:10
ID:179, Name:Denice, Major:AA, Enrollment:No, Year:Sophomore, Age:10
ID:272, Name:Kadri, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:194, Name:Atlas, Major:IE, Enrollment:No, Year:Senior, Age:10
ID:654, Name:Caidyn, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:256, Name:Aakanksha, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:213, Name:Makylie, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:357, Name:Rylann, Major:CHE, Enrollment:Yes, Year:Senior, Age:10
ID:59, Name:Jules, Major:ABE, Enrollment:No, Year:Freshman, Age:10
ID:515, Name:Rigby, Major:AA, Enrollment:No, Year:Freshman, Age:10
ID:324, Name:Kaelen, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:273, Name:Daren, Major:BME, Enrollment:Yes, Year:Freshman, Age:10
ID:120, Name:Aadhav, Major:AA, Enrollment:Yes, Year:Junior, Age:10
ID:374, Name:Teven, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:186, Name:Elisabetta, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:417, Name:Washington, Major:BME, Enrollment:Yes, Year:Senior, Age:10
ID:242, Name:Abiela, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:419, Name:Samerah, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:219, Name:Jaydeen, Major:CHE, Enrollment:No, Year:Junior, Age:10
ID:368, Name:Zaniya, Major:CHE, Enrollment:Yes, Year:Freshman, Age:10
ID:567, Name:Ashna, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:424, Name:Alaiza, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:39, Name:Rana, Major:CS, Enrollment:Yes, Year:Senior, Age:11
ID:372, Name:Joss, Major:CS, Enrollment:Yes, Year:Senior, Age:11
ID:441, Name:Pearce, Major:ECE, Enrollment:Yes, Year:Freshman, Age:11
ID:373, Name:Roslynn, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:283, Name:Danniella, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:680, Name:Jordan, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:306, Name:Cj, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:323, Name:Alany, Major:ABE, Enrollment:No, Year:Junior, Age:11
ID:572, Name:Oliwia, Major:AA, Enrollment:Yes, Year:Freshman, Age:11
ID:262, Name:Mayvis, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:286, Name:Gregoria, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:573, Name:Jezelle, Major:CS, Enrollment:No, Year:Sophomore, Age:11
ID:363, Name:Daleen, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:663, Name:Mahreen, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:406, Name:Braylyn, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:509, Name:Emmitt, Major:CS, Enrollment:Yes, Year:Freshman, Age:11
ID:362, Name:Leniel, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:183, Name:Jeydan, Major:ECE, Enrollment:No, Year:Sophomore, Age:11
ID:17, Name:Estefania, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:153, Name:Janard, Major:ME, Enrollment:No, Year:Junior, Age:11
ID:326, Name:Rafiel, Major:ABE, Enrollment:No, Year:Sophomore, Age:11
ID:52, Name:Makenlee, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:501, Name:Nicanor, Major:IE, Enrollment:Yes, Year:Sophomore, Age:11
ID:50, Name:Rea, Major:IE, Enrollment:No, Year:Sophomore, Age:11
ID:113, Name:Supreme, Major:ME, Enrollment:No, Year:Junior, Age:11
ID:177, Name:Eito, Major:AA, Enrollment:No, Year:Sophomore, Age:11
ID:626, Name:Jahni, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:590, Name:Savon, Major:CS, Enrollment:No, Year:Sophomore, Age:11
ID:592, Name:Vincente, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:614, Name:Rudy, Major:ECE, Enrollment:No, Year:Freshman, Age:11
ID:612, Name:Kariyah, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:597, Name:Anisha, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:471, Name:Armarion, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:217, Name:Olujimi, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:279, Name:Mackinlee, Major:BME, Enrollment:No, Year:Senior, Age:12
ID:169, Name:Tywaun, Major:BME, Enrollment:Yes, Year:Senior, Age:12
ID:356, Name:Sufyaan, Major:IE, Enrollment:Yes, Year:Freshman, Age:12
ID:251, Name:Zita, Major:BME, Enrollment:Yes, Year:Junior, Age:12
ID:96, Name:Xabier, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:576, Name:Damyah, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:165, Name:Ashwin, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:468, Name:Alizay, Major:IE, Enrollment:No, Year:Junior, Age:12
ID:517, Name:Ramier, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:287, Name:Tymia, Major:BME, Enrollment:No, Year:Sophomore, Age:12
ID:375, Name:Traiden, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:629, Name:Ada, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:525, Name:Reilly, Major:ABE, Enrollment:No, Year:Junior, Age:12
ID:650, Name:Jayeden, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:15, Name:Karenna, Major:ABE, Enrollment:Yes, Year:Freshman, Age:12
ID:205, Name:Jeromy, Major:ME, Enrollment:No, Year:Junior, Age:12
ID:413, Name:Faithful, Major:CS, Enrollment:Yes, Year:Junior, Age:12
ID:675, Name:Jaxden, Major:IE, Enrollment:Yes, Year:Senior, Age:12
ID:319, Name:Shealynn, Major:CHE, Enrollment:Yes, Year:Junior, Age:12
ID:3, Name:Oluwajomiloju, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:502, Name:Alyza, Major:CS, Enrollment:No, Year:Junior, Age:13
ID:689, Name:Geneva, Major:ME, Enrollment:No, Year:Junior, Age:13
ID:274, Name:Khyree, Major:ABE, Enrollment:Yes, Year:Senior, Age:13
ID:547, Name:Libbie, Major:CS, Enrollment:Yes, Year:Senior, Age:13
ID:540, Name:Trinnity, Major:ME, Enrollment:Yes, Year:Sophomore, Age:13
ID:159, Name:Coley, Major:AA, Enrollment:Yes, Year:Sophomore, Age:13
ID:536, Name:Mckinlee, Major:CHE, Enrollment:Yes, Year:Senior, Age:13
ID:11, Name:Thierry, Major:AA, Enrollment:No, Year:Junior, Age:13
ID:548, Name:Mane, Major:ME, Enrollment:Yes, Year:Junior, Age:13
