ID:1000, Name:Blessyn, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:170, Name:Bayron, Major:ABE, Enrollment:No, Year:Sophomore, Age:14
ID:202, Name:Alder, Major:IE, Enrollment:No, Year:Senior, Age:19
ID:734, Name:Abubakar, Major:ME, Enrollment:Yes, Year:Junior, Age:29
ID:414, Name:Abagayle, Major:CS, Enrollment:No, Year:Junior, Age:29
ID:191, Name:Aaris, Major:ABE, Enrollment:No, Year:Freshman, Age:21
ID:977, Name:Aaira, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:988, Name:Aaliyan, Major:ECE, Enrollment:No, Year:Senior, Age:17
ID:443, Name:Aamyah, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:606, Name:Aanay, Major:CHE, Enrollment:Yes, Year:Junior, Age:29
ID:823, Name:Abdulhamid, Major:AA, Enrollment:No, Year:Freshman, Age:12
ID:618, Name:Abdelrahman, Major:IE, Enrollment:No, Year:Sophomore, Age:19
ID:252, Name:Abrion, Major:ECE, Enrollment:No, Year:Senior, Age:23
ID:706, Name:Abigail, Major:AA, Enrollment:No, Year:Freshman, Age:20
ID:934, Name:Acelyn, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:172, Name:Ace, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:408, Name:Adar, Major:AA, Enrollment:No, Year:Freshman, Age:21
ID:27, Name:Adagio, Major:CS, Enrollment:Yes, Year:Senior, Age:28
ID:463, Name:Aiiden, Major:CS, Enrollment:No, Year:Senior, Age:16
ID:940, Name:Advita, Major:CS, Enrollment:No, Year:Junior, Age:10
ID:256, Name:Adilene, Major:ME, Enrollment:No, Year:Senior, Age:14
ID:401, Name:Adiel, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:329, Name:Addisyn, Major:ECE, Enrollment:Yes, Year:Freshman, Age:23
ID:508, Name:Adom, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:91, Name:Aerie, Major:IE, Enrollment:Yes, Year:Junior, Age:12
ID:676, Name:Aerianna, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:714, Name:Aiiden, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:631, Name:Aiesha, Major:CHE, Enrollment:No, Year:Senior, Age:16
ID:630, Name:Alannis, Major:CHE, Enrollment:Yes, Year:Senior, Age:22
ID:239, Name:Akyra, Major:IE, Enrollment:No, Year:Junior, Age:21
ID:853, Name:Akali, Major:AA, Enrollment:No, Year:Senior, Age:21
ID:250, Name:Alasia, Major:ME, Enrollment:No, Year:Senior, Age:29
ID:254, Name:Alaynah, Major:CHE, Enrollment:No, Year:Junior, Age:28
ID:174, Name:Banks, Major:CHE, Enrollment:Yes, Year:Senior, Age:25
ID:148, Name:Anishka, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:192, Name:Anayeli, Major:IE, Enrollment:Yes, Year:Junior, Age:13
ID:541, Name:Alta, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:391, Name:Alesia, Major:CS, Enrollment:No, Year:Freshman, Age:19
ID:592, Name:Aleina, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:26
ID:945, Name:Alexxa, Major:ABE, Enrollment:No, Year:Freshman, Age:24
ID:596, Name:Almina, Major:CHE, Enrollment:No, Year:Freshman, Age:15
ID:629, Name:Alleah, Major:IE, Enrollment:Yes, Year:Junior, Age:23
ID:616, Name:Alhassan, Major:AA, Enrollment:Yes, Year:Senior, Age:18
ID:120, Name:Alphonso, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:29
ID:543, Name:Amoni, Major:IE, Enrollment:No, Year:Senior, Age:25
ID:313, Name:Amiia, Major:ME, Enrollment:Yes, Year:Sophomore, Age:24
ID:846, Name:Amarion, Major:BME, Enrollment:Yes, Year:Senior, Age:25
ID:760, Name:Amarii, Major:ECE, Enrollment:Yes, Year:Senior, Age:22
ID:149, Name:Amarielle, Major:ABE, Enrollment:Yes, Year:Junior, Age:27
ID:198, Name:Amal, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:50, Name:Amadi, Major:ECE, Enrollment:No, Year:Sophomore, Age:14
ID:536, Name:Amarrah, Major:BME, Enrollment:Yes, Year:Freshman, Age:20
ID:804, Name:Amarissa, Major:BME, Enrollment:Yes, Year:Junior, Age:28
ID:521, Name:Amelyah, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:994, Name:Ameen, Major:IE, Enrollment:Yes, Year:Junior, Age:23
