ID:600, Name:Harsha, Major:CS, Enrollment:Yes, Year:Freshman, Age:10
ID:40, Name:Louie, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:206, Name:Bithiah, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:159, Name:Oaklyn, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:146, Name:Artorius, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:316, Name:Lyan, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:433, Name:Bo, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:356, Name:Anah, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:16, Name:Ladan, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:65, Name:Eastan, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:369, Name:Ina, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:221, Name:Nicolai, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:324, Name:Anyiah, Major:ME, Enrollment:No, Year:Sophomore, Age:11
ID:344, Name:Amarah, Major:AA, Enrollment:Yes, Year:Freshman, Age:11
ID:217, Name:Rian, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:116, Name:Brentley, Major:CS, Enrollment:Yes, Year:Junior, Age:11
ID:129, Name:Arwyn, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:378, Name:Shreeja, Major:ECE, Enrollment:No, Year:Freshman, Age:11
ID:507, Name:Yassmin, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:11
ID:512, Name:Ivette, Major:ABE, Enrollment:No, Year:Senior, Age:11
ID:552, Name:Zera, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:506, Name:Riddick, Major:ABE, Enrollment:No, Year:Freshman, Age:11
ID:447, Name:Brasen, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:39, Name:Daksha, Major:CHE, Enrollment:No, Year:Junior, Age:20
