ID:100, Name:Shailee, Major:ME, Enrollment:No, Year:Junior, Age:11
ID:26, Name:Ean, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:48, Name:Eastin, Major:CHE, Enrollment:No, Year:Freshman, Age:11
ID:65, Name:Tamyah, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:42, Name:Gurnoor, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:8, Name:Sohail, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:74, Name:Jessi, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:14, Name:Danny, Major:IE, Enrollment:No, Year:Sophomore, Age:28
ID:89, Name:Matilyn, Major:AA, Enrollment:Yes, Year:Junior, Age:28
ID:87, Name:Elber, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:21
ID:57, Name:Reyn, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:13, Name:Amora, Major:CS, Enrollment:Yes, Year:Sophomore, Age:11
ID:52, Name:Saffron, Major:ECE, Enrollment:No, Year:Freshman, Age:14
ID:68, Name:Dymir, Major:ECE, Enrollment:Yes, Year:Freshman, Age:12
ID:61, Name:Ara, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:88, Name:Marysue, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:41, Name:Aarik, Major:AA, Enrollment:Yes, Year:Senior, Age:14
ID:82, Name:Castle, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:46, Name:Maevis, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:37, Name:Garet, Major:CS, Enrollment:Yes, Year:Senior, Age:15
ID:30, Name:Zacariah, Major:AA, Enrollment:No, Year:Sophomore, Age:15
ID:21, Name:Annamarie, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:18, Name:Dillyn, Major:AA, Enrollment:No, Year:Senior, Age:16
ID:17, Name:Breon, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:72, Name:Dayquan, Major:ME, Enrollment:Yes, Year:Freshman, Age:17
ID:20, Name:Falon, Major:ME, Enrollment:No, Year:Junior, Age:17
ID:86, Name:Lean, Major:AA, Enrollment:No, Year:Senior, Age:17
ID:67, Name:Boyan, Major:ECE, Enrollment:Yes, Year:Senior, Age:18
ID:16, Name:Domenica, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:64, Name:Devinn, Major:IE, Enrollment:Yes, Year:Junior, Age:19
ID:23, Name:Novalei, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:38, Name:Hyrum, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:66, Name:Jadelynn, Major:ECE, Enrollment:Yes, Year:Senior, Age:21
ID:56, Name:Keen, Major:IE, Enrollment:Yes, Year:Freshman, Age:25
ID:77, Name:Osirus, Major:AA, Enrollment:Yes, Year:Junior, Age:24
ID:98, Name:Braiden, Major:IE, Enrollment:Yes, Year:Junior, Age:24
ID:31, Name:Vinh, Major:ME, Enrollment:Yes, Year:Freshman, Age:24
ID:69, Name:Maycol, Major:ECE, Enrollment:Yes, Year:Senior, Age:23
ID:7, Name:Arsh, Major:CS, Enrollment:Yes, Year:Sophomore, Age:23
ID:4, Name:Kahloni, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:22
ID:50, Name:Aviv, Major:ECE, Enrollment:Yes, Year:Junior, Age:22
ID:9, Name:Betzabe, Major:ABE, Enrollment:No, Year:Freshman, Age:22
ID:51, Name:Liani, Major:IE, Enrollment:No, Year:Sophomore, Age:21
ID:73, Name:Leeanne, Major:CS, Enrollment:Yes, Year:Freshman, Age:22
ID:22, Name:Kemet, Major:AA, Enrollment:Yes, Year:Freshman, Age:23
ID:25, Name:Andreah, Major:ECE, Enrollment:No, Year:Junior, Age:24
ID:1, Name:Geraldine, Major:IE, Enrollment:Yes, Year:Freshman, Age:24
ID:95, Name:Eziel, Major:IE, Enrollment:Yes, Year:Junior, Age:26
ID:6, Name:Jaimee, Major:IE, Enrollment:No, Year:Senior, Age:25
ID:85, Name:Alicyn, Major:ME, Enrollment:Yes, Year:Sophomore, Age:26
ID:92, Name:Shayla, Major:BME, Enrollment:No, Year:Senior, Age:27
ID:28, Name:Kanai, Major:BME, Enrollment:No, Year:Sophomore, Age:26
ID:90, Name:Jemini, Major:ME, Enrollment:Yes, Year:Sophomore, Age:29
ID:43, Name:Sumeya, Major:AA, Enrollment:Yes, Year:Sophomore, Age:28
ID:81, Name:Kenijah, Major:CHE, Enrollment:No, Year:Sophomore, Age:28
ID:19, Name:Elsey, Major:ECE, Enrollment:No, Year:Sophomore, Age:28
ID:27, Name:Alanis, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:29
ID:3, Name:Karley, Major:CS, Enrollment:Yes, Year:Junior, Age:29
Write to db
