ID:630, Name:Alanah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:20
ID:33, Name:Aaris, Major:AA, Enrollment:Yes, Year:Freshman, Age:17
ID:596, Name:Aamiya, Major:ABE, Enrollment:Yes, Year:Freshman, Age:24
ID:406, Name:Aadvika, Major:ME, Enrollment:Yes, Year:Junior, Age:29
ID:578, Name:Ai, Major:ECE, Enrollment:No, Year:Junior, Age:13
ID:225, Name:Adelie, Major:IE, Enrollment:No, Year:Freshman, Age:27
ID:383, Name:Abree, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:15
ID:361, Name:Aayden, Major:ME, Enrollment:No, Year:Freshman, Age:17
ID:444, Name:Abril, Major:AA, Enrollment:Yes, Year:Junior, Age:26
ID:217, Name:Addlynn, Major:AA, Enrollment:Yes, Year:Freshman, Age:22
ID:191, Name:Adolphus, Major:ABE, Enrollment:Yes, Year:Junior, Age:27
ID:64, Name:Adeola, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:268, Name:Aedyn, Major:CHE, Enrollment:No, Year:Sophomore, Age:29
ID:606, Name:Advaith, Major:ABE, Enrollment:No, Year:Junior, Age:22
ID:262, Name:Ailanny, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:302, Name:Aishah, Major:BME, Enrollment:Yes, Year:Junior, Age:26
ID:526, Name:Ainsley, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:91, Name:Ajani, Major:ME, Enrollment:Yes, Year:Junior, Age:18
ID:166, Name:Aiyah, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:483, Name:Akhila, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:31, Name:Brenner, Major:CHE, Enrollment:No, Year:Sophomore, Age:26
ID:122, Name:Annabeth, Major:BME, Enrollment:Yes, Year:Freshman, Age:22
ID:404, Name:Anajulia, Major:CHE, Enrollment:No, Year:Sophomore, Age:15
ID:354, Name:Aleyda, Major:ME, Enrollment:Yes, Year:Junior, Age:29
ID:239, Name:Alanis, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:478, Name:Alexandrea, Major:ABE, Enrollment:Yes, Year:Freshman, Age:26
ID:335, Name:Aleck, Major:BME, Enrollment:Yes, Year:Freshman, Age:12
ID:55, Name:Alexandr, Major:IE, Enrollment:No, Year:Sophomore, Age:18
ID:509, Name:Alekai, Major:CHE, Enrollment:Yes, Year:Senior, Age:22
ID:343, Name:Alexiah, Major:CHE, Enrollment:No, Year:Sophomore, Age:23
ID:1, Name:Alexza, Major:ABE, Enrollment:No, Year:Senior, Age:12
ID:21, Name:Ambrosia, Major:CS, Enrollment:Yes, Year:Senior, Age:28
ID:328, Name:Alira, Major:ABE, Enrollment:No, Year:Sophomore, Age:20
ID:44, Name:Alinah, Major:ECE, Enrollment:No, Year:Senior, Age:29
ID:88, Name:Amata, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:325, Name:Amaliah, Major:ABE, Enrollment:Yes, Year:Junior, Age:15
ID:149, Name:Alixandra, Major:ECE, Enrollment:Yes, Year:Senior, Age:28
ID:494, Name:Aliyan, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:355, Name:Allina, Major:IE, Enrollment:No, Year:Senior, Age:23
ID:224, Name:Amadeus, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:362, Name:Amauria, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:598, Name:Amilliana, Major:BME, Enrollment:Yes, Year:Junior, Age:25
ID:337, Name:Amoni, Major:IE, Enrollment:No, Year:Senior, Age:26
ID:221, Name:Ammie, Major:IE, Enrollment:No, Year:Junior, Age:27
ID:293, Name:Ammara, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:108, Name:Amran, Major:ECE, Enrollment:Yes, Year:Freshman, Age:27
ID:481, Name:Andrzej, Major:CHE, Enrollment:No, Year:Sophomore, Age:24
ID:232, Name:Andersyn, Major:CS, Enrollment:No, Year:Senior, Age:24
ID:548, Name:Anella, Major:IE, Enrollment:Yes, Year:Freshman, Age:16
ID:254, Name:Anmay, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:403, Name:Braydn, Major:ABE, Enrollment:No, Year:Senior, Age:22
ID:607, Name:Avani, Major:IE, Enrollment:Yes, Year:Senior, Age:23
ID:318, Name:Anquan, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:394, Name:Aubriana, Major:ECE, Enrollment:No, Year:Junior, Age:28
ID:277, Name:Astraeus, Major:CHE, Enrollment:No, Year:Freshman, Age:26
