ID:660, Name:Karuna, Major:ECE, Enrollment:No, Year:Sophomore, Age:12
ID:103, Name:Jaylie, Major:CS, Enrollment:No, Year:Freshman, Age:10
ID:484, Name:Keno, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:324, Name:Princedavid, Major:ECE, Enrollment:No, Year:Junior, Age:10
ID:372, Name:Kaylieann, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:60, Name:Dynasty, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:327, Name:Jaydden, Major:CS, Enrollment:No, Year:Junior, Age:10
ID:373, Name:Cesc, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:401, Name:Ahil, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:384, Name:Dorsey, Major:BME, Enrollment:Yes, Year:Freshman, Age:10
ID:262, Name:Reva, Major:ABE, Enrollment:No, Year:Senior, Age:10
ID:181, Name:Imani, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:126, Name:Thai, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:95, Name:Kymberly, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:80, Name:Kiah, Major:ABE, Enrollment:No, Year:Senior, Age:10
ID:228, Name:Januel, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:221, Name:Millan, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:486, Name:Breylynn, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:347, Name:Arishka, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:8, Name:Rigo, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:240, Name:Braysen, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:617, Name:Rileigh, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:586, Name:Grettell, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:629, Name:Aneeka, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:646, Name:Decklen, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:509, Name:Burkleigh, Major:AA, Enrollment:Yes, Year:Senior, Age:10
ID:12, Name:Braeden, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:596, Name:Froylan, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:79, Name:Andrei, Major:ECE, Enrollment:Yes, Year:Freshman, Age:11
ID:180, Name:Vayla, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:158, Name:Tahan, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:85, Name:Payzlie, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:191, Name:Marylynn, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:575, Name:Koralie, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:555, Name:Elaijah, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:423, Name:Corbyn, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:547, Name:Yusha, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:400, Name:Glen, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:449, Name:Ala, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:469, Name:Tilak, Major:ABE, Enrollment:No, Year:Freshman, Age:11
ID:265, Name:Karalina, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:12
ID:331, Name:Caterina, Major:BME, Enrollment:Yes, Year:Junior, Age:12
ID:155, Name:Demoni, Major:AA, Enrollment:Yes, Year:Freshman, Age:12
