ID:660, Name:Karuna, Major:ECE, Enrollment:No, Year:Sophomore, Age:12
ID:345, Name:Eliberto, Major:ECE, Enrollment:Yes, Year:Junior, Age:24
ID:471, Name:Declan, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:449, Name:Ala, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:639, Name:Aeron, Major:ECE, Enrollment:Yes, Year:Junior, Age:28
ID:96, Name:Aariyana, Major:CS, Enrollment:Yes, Year:Junior, Age:24
ID:317, Name:Aadhya, Major:ME, Enrollment:No, Year:Senior, Age:24
ID:452, Name:Aarian, Major:BME, Enrollment:No, Year:Sophomore, Age:20
ID:346, Name:Addlynn, Major:CS, Enrollment:Yes, Year:Freshman, Age:24
ID:340, Name:Addilynn, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:286, Name:Abena, Major:AA, Enrollment:No, Year:Junior, Age:22
ID:124, Name:Adelie, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:47, Name:Adrianne, Major:BME, Enrollment:No, Year:Freshman, Age:13
ID:129, Name:Adreanna, Major:ABE, Enrollment:No, Year:Junior, Age:29
ID:401, Name:Ahil, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:108, Name:Akiah, Major:ABE, Enrollment:Yes, Year:Freshman, Age:28
ID:435, Name:Ahmyah, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:429, Name:Ahmari, Major:AA, Enrollment:No, Year:Senior, Age:22
ID:115, Name:Ahmiracle, Major:CS, Enrollment:Yes, Year:Sophomore, Age:25
ID:22, Name:Bronx, Major:IE, Enrollment:No, Year:Junior, Age:25
ID:535, Name:Atalie, Major:ME, Enrollment:No, Year:Senior, Age:22
ID:584, Name:Alera, Major:CHE, Enrollment:No, Year:Freshman, Age:28
ID:413, Name:Alayja, Major:ECE, Enrollment:No, Year:Freshman, Age:11
ID:226, Name:Alarick, Major:IE, Enrollment:Yes, Year:Freshman, Age:24
ID:232, Name:Alauna, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:536, Name:Aspen, Major:ECE, Enrollment:No, Year:Freshman, Age:23
ID:73, Name:Annalina, Major:BME, Enrollment:Yes, Year:Junior, Age:17
ID:6, Name:Amarius, Major:IE, Enrollment:Yes, Year:Sophomore, Age:26
ID:353, Name:Alonah, Major:ABE, Enrollment:No, Year:Freshman, Age:18
ID:93, Name:Alon, Major:ME, Enrollment:Yes, Year:Junior, Age:19
ID:137, Name:Alikai, Major:ABE, Enrollment:Yes, Year:Junior, Age:21
ID:537, Name:Angelyn, Major:BME, Enrollment:Yes, Year:Junior, Age:16
ID:306, Name:Amit, Major:ECE, Enrollment:No, Year:Junior, Age:13
ID:30, Name:Amaziah, Major:ABE, Enrollment:No, Year:Junior, Age:28
ID:568, Name:Amelia, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:182, Name:Amiina, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:149, Name:Amunique, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:17
ID:629, Name:Aneeka, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:332, Name:Anael, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:550, Name:Analeise, Major:ECE, Enrollment:No, Year:Freshman, Age:23
ID:65, Name:Aniela, Major:BME, Enrollment:No, Year:Junior, Age:26
ID:425, Name:Anjelika, Major:CHE, Enrollment:Yes, Year:Freshman, Age:29
ID:24, Name:Annagrace, Major:CHE, Enrollment:Yes, Year:Freshman, Age:15
ID:201, Name:Arshan, Major:BME, Enrollment:Yes, Year:Senior, Age:21
ID:298, Name:Arial, Major:AA, Enrollment:No, Year:Senior, Age:24
ID:632, Name:Anthoni, Major:IE, Enrollment:Yes, Year:Senior, Age:21
ID:154, Name:Ariah, Major:ME, Enrollment:No, Year:Senior, Age:21
ID:430, Name:Araya, Major:ECE, Enrollment:Yes, Year:Senior, Age:19
ID:504, Name:Antione, Major:CS, Enrollment:Yes, Year:Freshman, Age:21
ID:211, Name:Ariaya, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:10
ID:202, Name:Arlynn, Major:BME, Enrollment:Yes, Year:Sophomore, Age:23
ID:347, Name:Arishka, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:307, Name:Ariyiah, Major:ECE, Enrollment:Yes, Year:Junior, Age:23
ID:482, Name:Arvid, Major:CHE, Enrollment:Yes, Year:Senior, Age:21
ID:480, Name:Assia, Major:CHE, Enrollment:No, Year:Senior, Age:21
ID:521, Name:Braxten, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:12, Name:Braeden, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:319, Name:Baylin, Major:BME, Enrollment:Yes, Year:Freshman, Age:26
ID:655, Name:Ausar, Major:ME, Enrollment:Yes, Year:Junior, Age:18
ID:28, Name:Audvik, Major:BME, Enrollment:Yes, Year:Freshman, Age:29
ID:525, Name:Atari, Major:CS, Enrollment:No, Year:Freshman, Age:29
ID:357, Name:Audrie, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:168, Name:Ayza, Major:ME, Enrollment:Yes, Year:Junior, Age:23
ID:216, Name:Aythan, Major:ECE, Enrollment:No, Year:Freshman, Age:17
ID:474, Name:Aylie, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:27
ID:316, Name:Avory, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:250, Name:Avier, Major:CS, Enrollment:No, Year:Freshman, Age:22
ID:532, Name:Barron, Major:IE, Enrollment:No, Year:Sophomore, Age:22
ID:510, Name:Azalaya, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:163, Name:Beatrice, Major:ECE, Enrollment:No, Year:Sophomore, Age:14
ID:647, Name:Bekah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:28
ID:186, Name:Braden, Major:ME, Enrollment:No, Year:Freshman, Age:23
ID:577, Name:Bisharo, Major:IE, Enrollment:No, Year:Sophomore, Age:20
ID:67, Name:Berit, Major:ME, Enrollment:Yes, Year:Freshman, Age:15
ID:554, Name:Braelyn, Major:IE, Enrollment:No, Year:Sophomore, Age:20
ID:240, Name:Braysen, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:259, Name:Briceson, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:24
ID:566, Name:Breelyn, Major:BME, Enrollment:No, Year:Freshman, Age:17
ID:90, Name:Brianna, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:470, Name:Brin, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:57, Name:Britt, Major:ME, Enrollment:Yes, Year:Freshman, Age:13
ID:388, Name:Briyah, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:646, Name:Decklen, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:448, Name:Casyn, Major:AA, Enrollment:No, Year:Freshman, Age:14
ID:251, Name:Brooks, Major:CHE, Enrollment:No, Year:Senior, Age:17
ID:29, Name:Camori, Major:AA, Enrollment:Yes, Year:Freshman, Age:17
ID:509, Name:Burkleigh, Major:AA, Enrollment:Yes, Year:Senior, Age:10
ID:120, Name:Caleb, Major:IE, Enrollment:Yes, Year:Freshman, Age:27
ID:19, Name:Caelie, Major:IE, Enrollment:Yes, Year:Senior, Age:27
ID:50, Name:Can, Major:ME, Enrollment:No, Year:Freshman, Age:15
ID:31, Name:Cashten, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:82, Name:Chana, Major:CS, Enrollment:Yes, Year:Sophomore, Age:12
ID:373, Name:Cesc, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:193, Name:Catarina, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:331, Name:Caterina, Major:BME, Enrollment:Yes, Year:Junior, Age:12
ID:569, Name:Dallas, Major:ECE, Enrollment:No, Year:Senior, Age:21
ID:146, Name:Chikaima, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:638, Name:Chaysen, Major:AA, Enrollment:No, Year:Junior, Age:10
ID:68, Name:Chayse, Major:BME, Enrollment:Yes, Year:Junior, Age:13
ID:495, Name:Daison, Major:ECE, Enrollment:No, Year:Freshman, Age:22
ID:423, Name:Corbyn, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:111, Name:Connolly, Major:ABE, Enrollment:Yes, Year:Junior, Age:21
ID:177, Name:Coe, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:17, Name:Clemence, Major:BME, Enrollment:No, Year:Sophomore, Age:28
ID:166, Name:Christabel, Major:CHE, Enrollment:No, Year:Sophomore, Age:28
ID:203, Name:Creighton, Major:ECE, Enrollment:Yes, Year:Freshman, Age:20
ID:641, Name:Dacari, Major:ME, Enrollment:Yes, Year:Freshman, Age:25
ID:438, Name:Cybil, Major:ECE, Enrollment:Yes, Year:Junior, Age:26
ID:156, Name:Curtis, Major:IE, Enrollment:No, Year:Sophomore, Age:28
ID:615, Name:Damyra, Major:ABE, Enrollment:No, Year:Senior, Age:19
ID:616, Name:Darianna, Major:AA, Enrollment:No, Year:Sophomore, Age:29
ID:199, Name:Darey, Major:ME, Enrollment:Yes, Year:Sophomore, Age:17
ID:481, Name:Danitza, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:363, Name:Danisha, Major:IE, Enrollment:No, Year:Junior, Age:17
ID:329, Name:Dechlan, Major:AA, Enrollment:No, Year:Freshman, Age:27
ID:300, Name:Darrel, Major:AA, Enrollment:No, Year:Freshman, Age:28
ID:278, Name:Dayanni, Major:IE, Enrollment:Yes, Year:Junior, Age:28
ID:155, Name:Demoni, Major:AA, Enrollment:Yes, Year:Freshman, Age:12
ID:204, Name:Deeya, Major:ME, Enrollment:No, Year:Freshman, Age:28
ID:303, Name:Dejuan, Major:BME, Enrollment:Yes, Year:Junior, Age:26
ID:290, Name:Deidrick, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:132, Name:Dijon, Major:ME, Enrollment:No, Year:Senior, Age:17
ID:450, Name:Derrell, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:473, Name:Denasia, Major:ME, Enrollment:No, Year:Sophomore, Age:16
ID:611, Name:Dewitt, Major:BME, Enrollment:No, Year:Sophomore, Age:21
ID:271, Name:Desten, Major:ME, Enrollment:No, Year:Sophomore, Age:29
ID:453, Name:Devanshi, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:15
ID:555, Name:Elaijah, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:367, Name:Eilam, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:22
ID:45, Name:Edessa, Major:ME, Enrollment:No, Year:Freshman, Age:16
ID:52, Name:Dove, Major:ABE, Enrollment:No, Year:Senior, Age:28
ID:384, Name:Dorsey, Major:BME, Enrollment:Yes, Year:Freshman, Age:10
ID:386, Name:Dom, Major:ME, Enrollment:No, Year:Senior, Age:11
ID:530, Name:Djuna, Major:CS, Enrollment:Yes, Year:Junior, Age:23
ID:477, Name:Diora, Major:ABE, Enrollment:Yes, Year:Junior, Age:25
ID:139, Name:Dontay, Major:ME, Enrollment:Yes, Year:Junior, Age:21
ID:60, Name:Dynasty, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:393, Name:Dre, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:106, Name:Elgin, Major:ABE, Enrollment:Yes, Year:Freshman, Age:18
ID:434, Name:Elexus, Major:CHE, Enrollment:No, Year:Junior, Age:25
ID:197, Name:Jehieli, Major:CS, Enrollment:No, Year:Sophomore, Age:26
ID:588, Name:Furkan, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:220, Name:Findley, Major:ME, Enrollment:No, Year:Sophomore, Age:17
ID:224, Name:Enza, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:268, Name:Eliu, Major:BME, Enrollment:Yes, Year:Junior, Age:29
ID:654, Name:Embree, Major:CS, Enrollment:Yes, Year:Sophomore, Age:28
ID:489, Name:Ellen, Major:ABE, Enrollment:Yes, Year:Junior, Age:23
ID:288, Name:Elyce, Major:CHE, Enrollment:Yes, Year:Junior, Age:16
ID:498, Name:Emerii, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:20, Name:Emree, Major:ABE, Enrollment:Yes, Year:Senior, Age:17
ID:46, Name:Fallou, Major:ECE, Enrollment:Yes, Year:Freshman, Age:13
ID:398, Name:Evienne, Major:CHE, Enrollment:Yes, Year:Freshman, Age:29
ID:272, Name:Ever, Major:ECE, Enrollment:Yes, Year:Freshman, Age:28
ID:590, Name:Espn, Major:AA, Enrollment:No, Year:Freshman, Age:27
ID:546, Name:Epic, Major:CS, Enrollment:Yes, Year:Senior, Age:13
ID:339, Name:Inari, Major:IE, Enrollment:Yes, Year:Junior, Age:21
ID:606, Name:Hewitt, Major:ECE, Enrollment:Yes, Year:Freshman, Age:22
ID:526, Name:Haydn, Major:ABE, Enrollment:Yes, Year:Junior, Age:21
ID:400, Name:Glen, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:374, Name:Gianina, Major:CHE, Enrollment:No, Year:Senior, Age:18
ID:195, Name:Gavyn, Major:ECE, Enrollment:Yes, Year:Junior, Age:29
ID:336, Name:Geovanny, Major:CHE, Enrollment:Yes, Year:Freshman, Age:23
ID:209, Name:Haiden, Major:ME, Enrollment:No, Year:Junior, Age:27
ID:586, Name:Grettell, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:376, Name:Grethel, Major:IE, Enrollment:No, Year:Junior, Age:22
ID:63, Name:Gloriana, Major:IE, Enrollment:Yes, Year:Junior, Age:23
ID:112, Name:Graceyn, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:573, Name:Gryffin, Major:CHE, Enrollment:Yes, Year:Junior, Age:29
ID:506, Name:Hades, Major:IE, Enrollment:No, Year:Junior, Age:23
ID:81, Name:Halston, Major:IE, Enrollment:Yes, Year:Senior, Age:14
ID:397, Name:Harmani, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:579, Name:Hansini, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:19
