ID:690, Name:Atreyu, Major:ME, Enrollment:Yes, Year:Junior, Age:16
ID:225, Name:Lucielle, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:595, Name:Lovely, Major:ECE, Enrollment:Yes, Year:Junior, Age:10
ID:368, Name:Zaniya, Major:CHE, Enrollment:Yes, Year:Freshman, Age:10
ID:112, Name:Olani, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:417, Name:Washington, Major:BME, Enrollment:Yes, Year:Senior, Age:10
ID:424, Name:Alaiza, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:387, Name:Riyan, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:466, Name:Motunrayo, Major:ECE, Enrollment:No, Year:Freshman, Age:10
ID:556, Name:Theadora, Major:CS, Enrollment:Yes, Year:Senior, Age:10
ID:567, Name:Ashna, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:515, Name:Rigby, Major:AA, Enrollment:No, Year:Freshman, Age:10
ID:357, Name:Rylann, Major:CHE, Enrollment:Yes, Year:Senior, Age:10
ID:272, Name:Kadri, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:256, Name:Aakanksha, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:195, Name:Roper, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:213, Name:Makylie, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:273, Name:Daren, Major:BME, Enrollment:Yes, Year:Freshman, Age:10
ID:173, Name:Adwit, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:324, Name:Kaelen, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:179, Name:Denice, Major:AA, Enrollment:No, Year:Sophomore, Age:10
ID:597, Name:Anisha, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:541, Name:Aira, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:654, Name:Caidyn, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:619, Name:Keilon, Major:ME, Enrollment:No, Year:Senior, Age:10
ID:77, Name:Jurnei, Major:CHE, Enrollment:No, Year:Junior, Age:11
