ID:690, Name:Atreyu, Major:ME, Enrollment:Yes, Year:Junior, Age:16
ID:101, Name:Arbella, Major:CS, Enrollment:Yes, Year:Senior, Age:18
ID:201, Name:Allana, Major:CS, Enrollment:No, Year:Junior, Age:19
ID:423, Name:Abrahim, Major:CS, Enrollment:No, Year:Senior, Age:27
ID:254, Name:Abbigayle, Major:ABE, Enrollment:No, Year:Senior, Age:28
ID:621, Name:Abbas, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:20
ID:628, Name:Aaravi, Major:CHE, Enrollment:Yes, Year:Freshman, Age:14
ID:256, Name:Aakanksha, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:242, Name:Abiela, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:629, Name:Ada, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:252, Name:Alizandra, Major:BME, Enrollment:Yes, Year:Freshman, Age:23
ID:416, Name:Adilynn, Major:CS, Enrollment:No, Year:Sophomore, Age:20
ID:105, Name:Addie, Major:IE, Enrollment:No, Year:Freshman, Age:24
ID:623, Name:Adefolarin, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:21
ID:642, Name:Adetokunbo, Major:ME, Enrollment:No, Year:Sophomore, Age:20
ID:566, Name:Akeria, Major:AA, Enrollment:No, Year:Freshman, Age:17
ID:505, Name:Adric, Major:IE, Enrollment:No, Year:Freshman, Age:25
ID:407, Name:Agata, Major:ABE, Enrollment:No, Year:Senior, Age:14
ID:173, Name:Adwit, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:282, Name:Adriel, Major:ABE, Enrollment:Yes, Year:Senior, Age:27
ID:541, Name:Aira, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:490, Name:Ahdia, Major:CS, Enrollment:Yes, Year:Freshman, Age:25
ID:157, Name:Aleksia, Major:ABE, Enrollment:No, Year:Sophomore, Age:17
ID:234, Name:Alanzo, Major:CHE, Enrollment:Yes, Year:Junior, Age:28
ID:323, Name:Alany, Major:ABE, Enrollment:No, Year:Junior, Age:11
ID:424, Name:Alaiza, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:329, Name:Alesana, Major:CS, Enrollment:No, Year:Senior, Age:29
ID:366, Name:Aleyssa, Major:ME, Enrollment:No, Year:Junior, Age:25
ID:231, Name:Alister, Major:AA, Enrollment:No, Year:Junior, Age:19
ID:81, Name:Alistar, Major:IE, Enrollment:Yes, Year:Junior, Age:29
ID:421, Name:Andy, Major:BME, Enrollment:Yes, Year:Senior, Age:17
ID:191, Name:Amran, Major:ECE, Enrollment:Yes, Year:Senior, Age:23
ID:577, Name:Amolika, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:28
ID:91, Name:Amiryah, Major:IE, Enrollment:No, Year:Senior, Age:22
ID:156, Name:Alohilani, Major:BME, Enrollment:No, Year:Senior, Age:23
ID:639, Name:Allysa, Major:ME, Enrollment:No, Year:Sophomore, Age:19
ID:502, Name:Alyza, Major:CS, Enrollment:No, Year:Junior, Age:13
ID:652, Name:Alphonso, Major:ABE, Enrollment:No, Year:Senior, Age:15
ID:325, Name:Amarion, Major:ECE, Enrollment:Yes, Year:Senior, Age:29
ID:309, Name:Amabelle, Major:ME, Enrollment:Yes, Year:Sophomore, Age:23
ID:79, Name:America, Major:IE, Enrollment:Yes, Year:Sophomore, Age:25
ID:261, Name:Amberleigh, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:267, Name:Amatullah, Major:CS, Enrollment:No, Year:Senior, Age:27
ID:385, Name:Amoni, Major:BME, Enrollment:No, Year:Sophomore, Age:20
ID:346, Name:Anahly, Major:BME, Enrollment:No, Year:Freshman, Age:19
ID:246, Name:Analicia, Major:IE, Enrollment:Yes, Year:Sophomore, Age:13
ID:301, Name:Annelise, Major:ECE, Enrollment:No, Year:Senior, Age:24
ID:645, Name:Angelina, Major:IE, Enrollment:No, Year:Junior, Age:14
ID:598, Name:Angelic, Major:BME, Enrollment:Yes, Year:Sophomore, Age:13
ID:7, Name:Angelena, Major:BME, Enrollment:No, Year:Junior, Age:16
ID:429, Name:Anees, Major:AA, Enrollment:No, Year:Junior, Age:28
ID:141, Name:Anely, Major:CHE, Enrollment:No, Year:Junior, Age:29
ID:9, Name:Annaka, Major:BME, Enrollment:No, Year:Senior, Age:20
ID:512, Name:Aniel, Major:ME, Enrollment:No, Year:Sophomore, Age:17
ID:492, Name:Aniketh, Major:BME, Enrollment:Yes, Year:Junior, Age:20
ID:452, Name:Aniyla, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:440, Name:Antoni, Major:AA, Enrollment:No, Year:Sophomore, Age:15
ID:371, Name:Anzley, Major:IE, Enrollment:Yes, Year:Freshman, Age:21
ID:194, Name:Atlas, Major:IE, Enrollment:No, Year:Senior, Age:10
ID:567, Name:Ashna, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:338, Name:Ase, Major:BME, Enrollment:Yes, Year:Sophomore, Age:25
ID:402, Name:Arhum, Major:ECE, Enrollment:No, Year:Freshman, Age:25
ID:298, Name:Arian, Major:ABE, Enrollment:No, Year:Junior, Age:26
ID:187, Name:Arifa, Major:BME, Enrollment:No, Year:Freshman, Age:23
ID:471, Name:Armarion, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:344, Name:Athziri, Major:CS, Enrollment:No, Year:Freshman, Age:21
ID:483, Name:Ataliah, Major:BME, Enrollment:No, Year:Junior, Age:10
ID:322, Name:Ashna, Major:ECE, Enrollment:No, Year:Freshman, Age:24
ID:152, Name:Ashtin, Major:CS, Enrollment:Yes, Year:Freshman, Age:19
ID:100, Name:Jhonathan, Major:CHE, Enrollment:No, Year:Sophomore, Age:17
ID:67, Name:Ileah, Major:IE, Enrollment:Yes, Year:Senior, Age:19
ID:400, Name:Demoni, Major:ABE, Enrollment:No, Year:Freshman, Age:13
ID:557, Name:Dearia, Major:BME, Enrollment:Yes, Year:Freshman, Age:21
ID:175, Name:Azar, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:314, Name:Aubriella, Major:ABE, Enrollment:Yes, Year:Freshman, Age:18
ID:353, Name:Avarie, Major:CS, Enrollment:Yes, Year:Senior, Age:24
ID:418, Name:Aylanni, Major:IE, Enrollment:No, Year:Junior, Age:19
ID:685, Name:Ayedan, Major:CHE, Enrollment:No, Year:Sophomore, Age:24
ID:44, Name:Catcher, Major:AA, Enrollment:No, Year:Junior, Age:20
ID:625, Name:Braecyn, Major:ECE, Enrollment:Yes, Year:Senior, Age:20
ID:479, Name:Bearett, Major:CHE, Enrollment:No, Year:Junior, Age:29
ID:549, Name:Basilio, Major:CHE, Enrollment:No, Year:Sophomore, Age:27
ID:495, Name:Azaryah, Major:BME, Enrollment:Yes, Year:Sophomore, Age:25
ID:603, Name:Brad, Major:BME, Enrollment:Yes, Year:Sophomore, Age:19
ID:390, Name:Blue, Major:CS, Enrollment:No, Year:Sophomore, Age:23
ID:198, Name:Beily, Major:ABE, Enrollment:Yes, Year:Freshman, Age:26
ID:65, Name:Biviana, Major:ABE, Enrollment:No, Year:Junior, Age:29
ID:651, Name:Bowyn, Major:ME, Enrollment:No, Year:Junior, Age:21
ID:36, Name:Breyson, Major:ECE, Enrollment:No, Year:Senior, Age:16
ID:72, Name:Brevan, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:406, Name:Braylyn, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:90, Name:Braylynn, Major:CHE, Enrollment:No, Year:Freshman, Age:15
ID:236, Name:Caelan, Major:AA, Enrollment:Yes, Year:Senior, Age:19
ID:300, Name:Brylin, Major:CS, Enrollment:No, Year:Sophomore, Age:20
ID:570, Name:Brock, Major:ECE, Enrollment:Yes, Year:Senior, Age:27
ID:456, Name:Cameron, Major:ME, Enrollment:No, Year:Senior, Age:27
ID:339, Name:Cambren, Major:ECE, Enrollment:No, Year:Senior, Age:18
ID:25, Name:Calogero, Major:ECE, Enrollment:No, Year:Senior, Age:21
ID:337, Name:Cherry, Major:CHE, Enrollment:Yes, Year:Freshman, Age:21
ID:617, Name:Cayla, Major:AA, Enrollment:No, Year:Senior, Age:29
ID:14, Name:Chayla, Major:CS, Enrollment:No, Year:Freshman, Age:19
ID:97, Name:Charitee, Major:IE, Enrollment:No, Year:Senior, Age:20
ID:369, Name:Daeshaun, Major:ME, Enrollment:Yes, Year:Senior, Age:16
ID:154, Name:Corena, Major:CHE, Enrollment:Yes, Year:Senior, Age:27
ID:159, Name:Coley, Major:AA, Enrollment:Yes, Year:Sophomore, Age:13
ID:420, Name:Coleman, Major:CS, Enrollment:Yes, Year:Senior, Age:24
ID:306, Name:Cj, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:648, Name:Colvin, Major:ABE, Enrollment:No, Year:Sophomore, Age:25
ID:235, Name:Cristiano, Major:CHE, Enrollment:No, Year:Senior, Age:27
ID:320, Name:Cyril, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:139, Name:Davina, Major:ABE, Enrollment:No, Year:Freshman, Age:14
ID:210, Name:Dangelo, Major:ME, Enrollment:No, Year:Freshman, Age:17
ID:164, Name:Dalaysa, Major:CS, Enrollment:Yes, Year:Freshman, Age:27
ID:384, Name:Daine, Major:CHE, Enrollment:Yes, Year:Senior, Age:27
ID:644, Name:Dagim, Major:IE, Enrollment:No, Year:Senior, Age:20
ID:589, Name:Dalon, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:184, Name:Davidson, Major:AA, Enrollment:No, Year:Junior, Age:24
ID:116, Name:Dante, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:273, Name:Daren, Major:BME, Enrollment:Yes, Year:Freshman, Age:10
ID:656, Name:Debbie, Major:CHE, Enrollment:No, Year:Senior, Age:24
ID:17, Name:Estefania, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:28, Name:Emiliya, Major:ME, Enrollment:Yes, Year:Sophomore, Age:28
ID:491, Name:Dru, Major:ECE, Enrollment:No, Year:Junior, Age:29
ID:538, Name:Dora, Major:ME, Enrollment:No, Year:Senior, Age:26
ID:29, Name:Djuan, Major:BME, Enrollment:No, Year:Sophomore, Age:22
ID:288, Name:Dhalia, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:23
ID:58, Name:Derreck, Major:ECE, Enrollment:Yes, Year:Junior, Age:23
ID:257, Name:Deontre, Major:ECE, Enrollment:No, Year:Junior, Age:23
ID:179, Name:Denice, Major:AA, Enrollment:No, Year:Sophomore, Age:10
ID:33, Name:Destine, Major:IE, Enrollment:No, Year:Freshman, Age:17
ID:186, Name:Elisabetta, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:109, Name:Eleana, Major:CHE, Enrollment:No, Year:Sophomore, Age:21
ID:208, Name:Dupree, Major:ME, Enrollment:No, Year:Freshman, Age:22
ID:678, Name:Eldric, Major:ECE, Enrollment:Yes, Year:Freshman, Age:28
ID:299, Name:Dyna, Major:CS, Enrollment:No, Year:Sophomore, Age:13
ID:110, Name:Edyn, Major:ECE, Enrollment:Yes, Year:Junior, Age:29
ID:177, Name:Eito, Major:AA, Enrollment:No, Year:Sophomore, Age:11
ID:611, Name:Elaya, Major:BME, Enrollment:No, Year:Senior, Age:29
ID:232, Name:Eloria, Major:AA, Enrollment:No, Year:Senior, Age:26
ID:443, Name:Elky, Major:ME, Enrollment:Yes, Year:Senior, Age:24
ID:475, Name:Ellanora, Major:ABE, Enrollment:Yes, Year:Freshman, Age:15
ID:448, Name:Elyne, Major:CS, Enrollment:No, Year:Junior, Age:15
ID:263, Name:Emerly, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:518, Name:Erick, Major:ME, Enrollment:Yes, Year:Sophomore, Age:23
ID:434, Name:Enia, Major:BME, Enrollment:Yes, Year:Sophomore, Age:17
ID:454, Name:Esmarie, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
