ID:720, Name:Reiley, Major:AA, Enrollment:Yes, Year:Sophomore, Age:25
ID:554, Name:Aara, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:250, Name:Quetzali, Major:IE, Enrollment:Yes, Year:Junior, Age:15
ID:190, Name:Aedin, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:481, Name:Anavi, Major:ECE, Enrollment:Yes, Year:Freshman, Age:11
ID:635, Name:Celeste, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:698, Name:Teja, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:228, Name:Haidynn, Major:CHE, Enrollment:No, Year:Senior, Age:10
ID:393, Name:Mordechai, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:389, Name:Jaselle, Major:BME, Enrollment:Yes, Year:Junior, Age:10
ID:267, Name:Sophiea, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:291, Name:Greyden, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:420, Name:Aviyon, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:79, Name:Divleen, Major:BME, Enrollment:No, Year:Sophomore, Age:11
ID:192, Name:Derrion, Major:AA, Enrollment:Yes, Year:Junior, Age:10
ID:353, Name:Jon, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:237, Name:Soham, Major:CS, Enrollment:Yes, Year:Senior, Age:10
ID:194, Name:Taylon, Major:IE, Enrollment:Yes, Year:Junior, Age:10
ID:160, Name:Caren, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:74, Name:Zanyia, Major:AA, Enrollment:Yes, Year:Senior, Age:10
ID:233, Name:Lovina, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:68, Name:Ontario, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:223, Name:Jacobie, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:278, Name:Rael, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:282, Name:Abdiaziz, Major:CS, Enrollment:No, Year:Junior, Age:11
ID:687, Name:Kallan, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:370, Name:Yoseph, Major:ME, Enrollment:Yes, Year:Freshman, Age:11
ID:191, Name:Nicki, Major:IE, Enrollment:No, Year:Junior, Age:11
ID:369, Name:Kylaya, Major:ABE, Enrollment:No, Year:Freshman, Age:11
ID:618, Name:Shaylan, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:373, Name:Rawley, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:208, Name:Avan, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:123, Name:Adalai, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:130, Name:Chase, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:482, Name:Tom, Major:ME, Enrollment:Yes, Year:Junior, Age:14
ID:671, Name:Angellica, Major:ABE, Enrollment:No, Year:Sophomore, Age:12
ID:336, Name:Oakley, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:617, Name:Jalana, Major:ECE, Enrollment:Yes, Year:Senior, Age:12
ID:23, Name:Zeyah, Major:CS, Enrollment:No, Year:Senior, Age:11
ID:11, Name:Praneel, Major:BME, Enrollment:No, Year:Senior, Age:11
ID:33, Name:Iliana, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:646, Name:Javeed, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:115, Name:Janyiah, Major:CHE, Enrollment:No, Year:Sophomore, Age:12
ID:485, Name:Renner, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:512, Name:Zuly, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:422, Name:Khyree, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:101, Name:Keiona, Major:IE, Enrollment:No, Year:Freshman, Age:12
ID:219, Name:Addilynne, Major:BME, Enrollment:No, Year:Freshman, Age:12
ID:413, Name:Alie, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:141, Name:Lorena, Major:CS, Enrollment:No, Year:Senior, Age:12
ID:669, Name:Rana, Major:IE, Enrollment:No, Year:Freshman, Age:12
ID:243, Name:Adysen, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:396, Name:Emmit, Major:AA, Enrollment:No, Year:Senior, Age:12
ID:352, Name:Vena, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:409, Name:Augie, Major:BME, Enrollment:Yes, Year:Senior, Age:12
ID:5, Name:Jahleah, Major:CS, Enrollment:Yes, Year:Freshman, Age:13
ID:575, Name:Arye, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:86, Name:Maraki, Major:ABE, Enrollment:Yes, Year:Senior, Age:12
ID:459, Name:Shayne, Major:ABE, Enrollment:Yes, Year:Senior, Age:12
ID:706, Name:Marisabel, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:572, Name:German, Major:CHE, Enrollment:Yes, Year:Freshman, Age:12
ID:638, Name:Van, Major:IE, Enrollment:Yes, Year:Senior, Age:12
ID:701, Name:Junie, Major:ABE, Enrollment:No, Year:Sophomore, Age:12
ID:201, Name:Maralynn, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:476, Name:Eyan, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:49, Name:Lennix, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:59, Name:Colum, Major:ECE, Enrollment:No, Year:Senior, Age:12
ID:403, Name:Mikiyas, Major:AA, Enrollment:No, Year:Freshman, Age:13
ID:69, Name:Jolani, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:714, Name:Salama, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:25, Name:Randall, Major:IE, Enrollment:Yes, Year:Senior, Age:13
ID:545, Name:Dayami, Major:BME, Enrollment:Yes, Year:Sophomore, Age:13
ID:604, Name:Aunesty, Major:CS, Enrollment:Yes, Year:Senior, Age:13
ID:525, Name:Delayni, Major:IE, Enrollment:Yes, Year:Sophomore, Age:13
ID:189, Name:Kaye, Major:ABE, Enrollment:Yes, Year:Junior, Age:13
ID:255, Name:Reata, Major:CHE, Enrollment:No, Year:Freshman, Age:13
ID:395, Name:Hanz, Major:IE, Enrollment:No, Year:Senior, Age:13
ID:230, Name:Isabela, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:172, Name:Kiiara, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:13
ID:221, Name:Adassa, Major:BME, Enrollment:Yes, Year:Junior, Age:13
ID:83, Name:Trystan, Major:AA, Enrollment:No, Year:Senior, Age:13
ID:710, Name:Pascual, Major:AA, Enrollment:No, Year:Freshman, Age:13
ID:595, Name:Zirui, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:658, Name:Shuaib, Major:ECE, Enrollment:Yes, Year:Freshman, Age:13
ID:88, Name:Addeline, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:292, Name:Aaira, Major:CS, Enrollment:Yes, Year:Freshman, Age:13
ID:229, Name:Genesi, Major:AA, Enrollment:No, Year:Junior, Age:13
ID:184, Name:Roran, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:28, Name:Jiana, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:316, Name:Xela, Major:ME, Enrollment:No, Year:Junior, Age:14
ID:183, Name:Jozy, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:308, Name:Lavinia, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:322, Name:Masen, Major:CHE, Enrollment:Yes, Year:Senior, Age:14
ID:648, Name:Alithea, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:424, Name:Jaymin, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:651, Name:Chaarvi, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:14
ID:36, Name:Hubert, Major:IE, Enrollment:Yes, Year:Senior, Age:14
ID:284, Name:Anaeli, Major:ME, Enrollment:Yes, Year:Senior, Age:14
ID:594, Name:Kendell, Major:CS, Enrollment:No, Year:Freshman, Age:14
ID:500, Name:Maclane, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:14
ID:461, Name:Audreyana, Major:ABE, Enrollment:Yes, Year:Freshman, Age:14
ID:456, Name:Jamiel, Major:ABE, Enrollment:Yes, Year:Freshman, Age:14
ID:264, Name:Jodie, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:303, Name:Sofie, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:398, Name:Samyrah, Major:ECE, Enrollment:Yes, Year:Junior, Age:14
ID:676, Name:Erion, Major:CHE, Enrollment:No, Year:Freshman, Age:14
ID:523, Name:Darilyn, Major:CHE, Enrollment:Yes, Year:Senior, Age:14
ID:400, Name:Alanii, Major:CS, Enrollment:Yes, Year:Freshman, Age:14
ID:121, Name:Davayah, Major:BME, Enrollment:Yes, Year:Freshman, Age:14
ID:27, Name:Kierstan, Major:AA, Enrollment:No, Year:Sophomore, Age:14
ID:275, Name:Maylyn, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:332, Name:Elston, Major:ECE, Enrollment:Yes, Year:Junior, Age:15
ID:124, Name:Kanyla, Major:ME, Enrollment:No, Year:Junior, Age:15
ID:587, Name:Clementine, Major:AA, Enrollment:No, Year:Senior, Age:15
ID:692, Name:Nello, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:588, Name:Kylin, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:71, Name:Yardley, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:593, Name:Serine, Major:IE, Enrollment:Yes, Year:Freshman, Age:15
ID:426, Name:Jalana, Major:CS, Enrollment:No, Year:Sophomore, Age:15
ID:463, Name:Tytus, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:26, Name:Ilija, Major:ECE, Enrollment:No, Year:Senior, Age:15
ID:538, Name:Karrah, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:570, Name:Booker, Major:ME, Enrollment:Yes, Year:Senior, Age:15
ID:491, Name:Kalid, Major:ME, Enrollment:Yes, Year:Sophomore, Age:15
ID:299, Name:Wilfredo, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:356, Name:Janyiah, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:342, Name:Seenaa, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:150, Name:Greenly, Major:ME, Enrollment:Yes, Year:Freshman, Age:15
ID:338, Name:Aseel, Major:ABE, Enrollment:No, Year:Sophomore, Age:15
ID:137, Name:Khia, Major:ME, Enrollment:No, Year:Senior, Age:15
ID:385, Name:Carolee, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:407, Name:Amirali, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:682, Name:Jianna, Major:CHE, Enrollment:Yes, Year:Freshman, Age:15
ID:179, Name:Renner, Major:ECE, Enrollment:No, Year:Junior, Age:15
ID:341, Name:Abhirami, Major:AA, Enrollment:Yes, Year:Junior, Age:16
ID:560, Name:Montgomery, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:266, Name:Preslynn, Major:ME, Enrollment:Yes, Year:Sophomore, Age:16
ID:366, Name:Emanii, Major:CS, Enrollment:Yes, Year:Senior, Age:16
ID:434, Name:Janalee, Major:ECE, Enrollment:Yes, Year:Senior, Age:16
ID:412, Name:Britton, Major:IE, Enrollment:No, Year:Senior, Age:16
ID:425, Name:Evann, Major:ECE, Enrollment:Yes, Year:Senior, Age:16
ID:591, Name:Reya, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:636, Name:Kadir, Major:IE, Enrollment:Yes, Year:Freshman, Age:16
ID:447, Name:Zahkeem, Major:CHE, Enrollment:No, Year:Junior, Age:16
ID:249, Name:Ellington, Major:IE, Enrollment:No, Year:Senior, Age:23
ID:498, Name:Charles, Major:CS, Enrollment:No, Year:Junior, Age:22
ID:509, Name:Joon, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:300, Name:Yanal, Major:CS, Enrollment:Yes, Year:Freshman, Age:17
ID:609, Name:Zandria, Major:IE, Enrollment:No, Year:Freshman, Age:17
ID:51, Name:Laianna, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:663, Name:Czarina, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:52, Name:Bay, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:168, Name:Shannen, Major:BME, Enrollment:No, Year:Freshman, Age:16
ID:665, Name:Lexie, Major:ECE, Enrollment:Yes, Year:Junior, Age:16
ID:241, Name:Tate, Major:ME, Enrollment:Yes, Year:Senior, Age:16
ID:677, Name:Ames, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:136, Name:Anayalee, Major:CS, Enrollment:Yes, Year:Sophomore, Age:16
ID:367, Name:Julion, Major:IE, Enrollment:Yes, Year:Sophomore, Age:17
ID:82, Name:Cattleya, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:700, Name:Philopateer, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:180, Name:Emlynn, Major:ME, Enrollment:Yes, Year:Sophomore, Age:16
ID:156, Name:Kaia, Major:IE, Enrollment:No, Year:Sophomore, Age:17
ID:355, Name:Sergei, Major:ECE, Enrollment:No, Year:Sophomore, Age:17
ID:3, Name:Nahlia, Major:ECE, Enrollment:No, Year:Senior, Age:17
ID:540, Name:Macaria, Major:ME, Enrollment:No, Year:Senior, Age:17
ID:151, Name:Armoni, Major:IE, Enrollment:No, Year:Senior, Age:17
ID:684, Name:Colbi, Major:CS, Enrollment:Yes, Year:Junior, Age:17
ID:437, Name:Kadija, Major:ECE, Enrollment:Yes, Year:Senior, Age:17
ID:430, Name:Jakarii, Major:CHE, Enrollment:Yes, Year:Senior, Age:17
ID:695, Name:Coston, Major:CHE, Enrollment:No, Year:Junior, Age:17
ID:505, Name:Amea, Major:AA, Enrollment:Yes, Year:Senior, Age:17
ID:392, Name:Sevin, Major:AA, Enrollment:Yes, Year:Senior, Age:17
ID:62, Name:Nilani, Major:CS, Enrollment:No, Year:Junior, Age:17
ID:524, Name:Edras, Major:AA, Enrollment:No, Year:Sophomore, Age:17
ID:544, Name:Eleen, Major:CHE, Enrollment:No, Year:Freshman, Age:20
ID:548, Name:Jhase, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:643, Name:Fitz, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:251, Name:Abbi, Major:ECE, Enrollment:Yes, Year:Senior, Age:17
ID:85, Name:Zachary, Major:AA, Enrollment:No, Year:Sophomore, Age:19
ID:668, Name:Teryn, Major:BME, Enrollment:No, Year:Sophomore, Age:19
ID:639, Name:Gracelynn, Major:AA, Enrollment:No, Year:Sophomore, Age:19
ID:410, Name:Lively, Major:ECE, Enrollment:Yes, Year:Senior, Age:18
ID:227, Name:Arai, Major:AA, Enrollment:Yes, Year:Senior, Age:18
ID:458, Name:Arielyz, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:222, Name:Xan, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:685, Name:Hannie, Major:CS, Enrollment:No, Year:Sophomore, Age:18
ID:328, Name:Dkayla, Major:CS, Enrollment:Yes, Year:Sophomore, Age:18
ID:326, Name:Tenaya, Major:ECE, Enrollment:No, Year:Freshman, Age:18
ID:132, Name:Elynn, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:348, Name:Safiyah, Major:IE, Enrollment:Yes, Year:Sophomore, Age:18
ID:1, Name:Leopoldo, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:464, Name:Zahirah, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:18
ID:479, Name:Garren, Major:CS, Enrollment:No, Year:Junior, Age:18
ID:487, Name:Frederic, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:214, Name:Masin, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:601, Name:Jaylianis, Major:ABE, Enrollment:Yes, Year:Freshman, Age:18
ID:133, Name:Eveyln, Major:BME, Enrollment:No, Year:Senior, Age:18
ID:263, Name:Tanner, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:696, Name:Yasuri, Major:CS, Enrollment:Yes, Year:Junior, Age:18
ID:314, Name:Osric, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:468, Name:Trajan, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:541, Name:Jiovany, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:318, Name:Cadie, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:210, Name:Elizeo, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:472, Name:Leiby, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:408, Name:Roniya, Major:CS, Enrollment:Yes, Year:Sophomore, Age:19
ID:453, Name:Volvi, Major:ME, Enrollment:Yes, Year:Junior, Age:19
ID:679, Name:Bexar, Major:CS, Enrollment:No, Year:Senior, Age:19
ID:467, Name:Jalicia, Major:ABE, Enrollment:Yes, Year:Freshman, Age:19
ID:375, Name:Harmonie, Major:CHE, Enrollment:No, Year:Sophomore, Age:19
ID:414, Name:Magdalynn, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:404, Name:Tali, Major:ABE, Enrollment:No, Year:Freshman, Age:20
ID:31, Name:Attila, Major:CS, Enrollment:Yes, Year:Sophomore, Age:19
ID:552, Name:Elver, Major:IE, Enrollment:No, Year:Sophomore, Age:19
ID:319, Name:Kahlee, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:19
ID:432, Name:Adelea, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:704, Name:Dalyla, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:19
ID:331, Name:Myanna, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:2, Name:Ocean, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:327, Name:Jeven, Major:CS, Enrollment:No, Year:Freshman, Age:19
