ID:60, Name:Deylan, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:28, Name:Annsleigh, Major:ME, Enrollment:No, Year:Senior, Age:19
ID:25, Name:Jakye, Major:ECE, Enrollment:Yes, Year:Freshman, Age:17
ID:36, Name:Zhyaire, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:6, Name:Calvary, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:20, Name:Bruin, Major:CHE, Enrollment:No, Year:Junior, Age:10
ID:2, Name:Everest, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:22, Name:Haddison, Major:ECE, Enrollment:No, Year:Freshman, Age:13
ID:7, Name:Ibukunoluwa, Major:ABE, Enrollment:Yes, Year:Junior, Age:15
ID:13, Name:Lucky, Major:CS, Enrollment:No, Year:Senior, Age:15
ID:24, Name:Aaravi, Major:ECE, Enrollment:Yes, Year:Senior, Age:14
ID:53, Name:Callee, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:34, Name:Ellody, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:10, Name:Josiana, Major:ECE, Enrollment:No, Year:Junior, Age:16
ID:49, Name:Atara, Major:CS, Enrollment:Yes, Year:Freshman, Age:16
ID:39, Name:Jayna, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:14, Name:Alyonna, Major:IE, Enrollment:Yes, Year:Freshman, Age:17
ID:21, Name:Sailor, Major:ABE, Enrollment:Yes, Year:Senior, Age:18
ID:27, Name:Adreanna, Major:CHE, Enrollment:No, Year:Senior, Age:21
ID:42, Name:Massiyah, Major:CHE, Enrollment:No, Year:Freshman, Age:20
ID:5, Name:Asal, Major:ECE, Enrollment:No, Year:Senior, Age:19
ID:44, Name:Yancey, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:15, Name:Brandee, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:19, Name:Shalev, Major:CHE, Enrollment:Yes, Year:Freshman, Age:22
ID:35, Name:Maelee, Major:ME, Enrollment:Yes, Year:Freshman, Age:22
ID:4, Name:Zyia, Major:BME, Enrollment:No, Year:Sophomore, Age:22
ID:54, Name:Mahima, Major:ECE, Enrollment:Yes, Year:Senior, Age:22
ID:41, Name:Dalten, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:25
ID:8, Name:Zoran, Major:AA, Enrollment:Yes, Year:Senior, Age:25
ID:31, Name:Kaemon, Major:ECE, Enrollment:Yes, Year:Junior, Age:25
ID:52, Name:Lucio, Major:IE, Enrollment:Yes, Year:Junior, Age:23
ID:38, Name:Jleigh, Major:ECE, Enrollment:Yes, Year:Freshman, Age:23
ID:16, Name:Valencio, Major:AA, Enrollment:Yes, Year:Senior, Age:22
ID:11, Name:Rhodes, Major:ECE, Enrollment:Yes, Year:Senior, Age:28
ID:55, Name:Lyllian, Major:BME, Enrollment:Yes, Year:Junior, Age:27
ID:3, Name:Jaslyn, Major:CS, Enrollment:Yes, Year:Freshman, Age:26
ID:12, Name:Shep, Major:CHE, Enrollment:No, Year:Sophomore, Age:29
ID:37, Name:Shresta, Major:ECE, Enrollment:No, Year:Junior, Age:29
Write to db
