ID:60, Name:Deylan, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:15, Name:Brandee, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:49, Name:Atara, Major:CS, Enrollment:Yes, Year:Freshman, Age:16
ID:28, Name:Annsleigh, Major:ME, Enrollment:No, Year:Senior, Age:19
ID:50, Name:Alva, Major:AA, Enrollment:Yes, Year:Junior, Age:16
ID:24, Name:Aaravi, Major:ECE, Enrollment:Yes, Year:Senior, Age:14
ID:41, Name:Dalten, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:25
ID:20, Name:Bruin, Major:CHE, Enrollment:No, Year:Junior, Age:10
ID:9, Name:Caledonia, Major:ME, Enrollment:No, Year:Freshman, Age:13
ID:6, Name:Calvary, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:16, Name:Valencio, Major:AA, Enrollment:Yes, Year:Senior, Age:22
ID:52, Name:Lucio, Major:IE, Enrollment:Yes, Year:Junior, Age:23
ID:34, Name:Ellody, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:17, Name:Kemper, Major:IE, Enrollment:Yes, Year:Junior, Age:16
ID:2, Name:Everest, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:32, Name:Kelilah, Major:ECE, Enrollment:No, Year:Freshman, Age:26
ID:29, Name:Kamarius, Major:AA, Enrollment:No, Year:Senior, Age:22
ID:10, Name:Josiana, Major:ECE, Enrollment:No, Year:Junior, Age:16
ID:39, Name:Jayna, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:56, Name:Janis, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:14
ID:22, Name:Haddison, Major:ECE, Enrollment:No, Year:Freshman, Age:13
ID:25, Name:Jakye, Major:ECE, Enrollment:Yes, Year:Freshman, Age:17
ID:45, Name:Javar, Major:BME, Enrollment:Yes, Year:Sophomore, Age:18
ID:43, Name:Kenard, Major:AA, Enrollment:Yes, Year:Sophomore, Age:27
ID:58, Name:Rushda, Major:AA, Enrollment:Yes, Year:Freshman, Age:21
ID:55, Name:Lyllian, Major:BME, Enrollment:Yes, Year:Junior, Age:27
ID:30, Name:Nyaire, Major:ME, Enrollment:No, Year:Freshman, Age:29
ID:46, Name:Matthieu, Major:ECE, Enrollment:No, Year:Senior, Age:19
ID:40, Name:Mateo, Major:CHE, Enrollment:Yes, Year:Junior, Age:11
ID:54, Name:Mahima, Major:ECE, Enrollment:Yes, Year:Senior, Age:22
ID:23, Name:Samanvita, Major:CS, Enrollment:No, Year:Freshman, Age:21
ID:12, Name:Shep, Major:CHE, Enrollment:No, Year:Sophomore, Age:29
ID:1, Name:Tove, Major:CHE, Enrollment:Yes, Year:Junior, Age:23
ID:18, Name:Theseus, Major:AA, Enrollment:Yes, Year:Junior, Age:22
ID:4, Name:Zyia, Major:BME, Enrollment:No, Year:Sophomore, Age:22
ID:33, Name:Yezan, Major:CHE, Enrollment:No, Year:Junior, Age:17
ID:26, Name:Zixi, Major:CS, Enrollment:No, Year:Junior, Age:20
Write to db
