ID:80, Name:Deavon, Major:ECE, Enrollment:No, Year:Sophomore, Age:19
ID:38, Name:Emmaleah, Major:ECE, Enrollment:No, Year:Senior, Age:15
ID:53, Name:Nyaomi, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:78, Name:Tam, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:79, Name:Gyan, Major:CS, Enrollment:No, Year:Freshman, Age:13
ID:13, Name:Quinn, Major:CS, Enrollment:No, Year:Sophomore, Age:13
ID:45, Name:Vinn, Major:AA, Enrollment:No, Year:Junior, Age:12
ID:27, Name:Avlyn, Major:ABE, Enrollment:Yes, Year:Junior, Age:12
ID:21, Name:Savage, Major:IE, Enrollment:No, Year:Junior, Age:12
ID:35, Name:Bankston, Major:CHE, Enrollment:No, Year:Freshman, Age:13
ID:10, Name:Kayli, Major:ABE, Enrollment:Yes, Year:Freshman, Age:13
ID:70, Name:Darcey, Major:AA, Enrollment:No, Year:Freshman, Age:14
ID:72, Name:Abyan, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:47, Name:Marilyn, Major:ECE, Enrollment:No, Year:Junior, Age:14
ID:51, Name:Mousa, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:50, Name:Roiza, Major:BME, Enrollment:Yes, Year:Sophomore, Age:16
ID:28, Name:Toa, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:30, Name:Hiya, Major:ABE, Enrollment:No, Year:Senior, Age:18
ID:40, Name:Nang, Major:ME, Enrollment:Yes, Year:Sophomore, Age:18
ID:69, Name:Davaughn, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:43, Name:Javier, Major:CS, Enrollment:No, Year:Sophomore, Age:18
ID:55, Name:Reiss, Major:ABE, Enrollment:No, Year:Sophomore, Age:19
ID:37, Name:Kharli, Major:ECE, Enrollment:Yes, Year:Senior, Age:20
ID:24, Name:Kasi, Major:AA, Enrollment:Yes, Year:Sophomore, Age:19
ID:6, Name:Kamariana, Major:CS, Enrollment:No, Year:Junior, Age:20
ID:56, Name:Briany, Major:AA, Enrollment:No, Year:Junior, Age:20
ID:32, Name:Deo, Major:ME, Enrollment:No, Year:Senior, Age:26
ID:66, Name:Roddrick, Major:AA, Enrollment:Yes, Year:Freshman, Age:21
ID:25, Name:Jandiel, Major:IE, Enrollment:No, Year:Freshman, Age:21
ID:33, Name:Enslie, Major:CS, Enrollment:Yes, Year:Junior, Age:20
ID:75, Name:Scotty, Major:CS, Enrollment:Yes, Year:Senior, Age:23
ID:59, Name:Yadhira, Major:CHE, Enrollment:No, Year:Sophomore, Age:22
ID:77, Name:Guled, Major:CHE, Enrollment:Yes, Year:Junior, Age:22
ID:68, Name:Wisdom, Major:ECE, Enrollment:No, Year:Senior, Age:22
ID:4, Name:Rifka, Major:CS, Enrollment:No, Year:Junior, Age:25
ID:15, Name:Rasool, Major:CS, Enrollment:No, Year:Freshman, Age:24
ID:52, Name:Vianka, Major:ECE, Enrollment:No, Year:Senior, Age:25
ID:76, Name:Meara, Major:CHE, Enrollment:No, Year:Junior, Age:26
ID:41, Name:Dhriti, Major:BME, Enrollment:Yes, Year:Sophomore, Age:28
ID:34, Name:Indyia, Major:ME, Enrollment:Yes, Year:Junior, Age:27
ID:71, Name:Naszir, Major:CS, Enrollment:No, Year:Sophomore, Age:27
ID:48, Name:Yamari, Major:CS, Enrollment:Yes, Year:Sophomore, Age:26
ID:17, Name:Kiani, Major:CHE, Enrollment:Yes, Year:Senior, Age:26
ID:9, Name:Daiden, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:27
ID:29, Name:Analea, Major:ECE, Enrollment:Yes, Year:Senior, Age:29
ID:20, Name:Gwyneth, Major:CHE, Enrollment:No, Year:Junior, Age:28
Write to db
