ID:80, Name:Deavon, Major:ECE, Enrollment:No, Year:Sophomore, Age:19
ID:19, Name:Braylea, Major:IE, Enrollment:No, Year:Sophomore, Age:22
ID:54, Name:Arin, Major:BME, Enrollment:No, Year:Senior, Age:20
ID:29, Name:Analea, Major:ECE, Enrollment:Yes, Year:Senior, Age:29
ID:63, Name:Allyna, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:27, Name:Avlyn, Major:ABE, Enrollment:Yes, Year:Junior, Age:12
ID:9, Name:Daiden, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:27
ID:67, Name:Cortland, Major:CHE, Enrollment:Yes, Year:Freshman, Age:22
ID:60, Name:Daylin, Major:CS, Enrollment:No, Year:Senior, Age:19
ID:70, Name:Darcey, Major:AA, Enrollment:No, Year:Freshman, Age:14
ID:16, Name:Knighton, Major:CS, Enrollment:No, Year:Junior, Age:15
ID:41, Name:Dhriti, Major:BME, Enrollment:Yes, Year:Sophomore, Age:28
ID:18, Name:Dhilan, Major:IE, Enrollment:Yes, Year:Junior, Age:11
ID:79, Name:Gyan, Major:CS, Enrollment:No, Year:Freshman, Age:13
ID:58, Name:Emyah, Major:AA, Enrollment:Yes, Year:Sophomore, Age:21
ID:77, Name:Guled, Major:CHE, Enrollment:Yes, Year:Junior, Age:22
ID:14, Name:Endrick, Major:AA, Enrollment:No, Year:Freshman, Age:29
ID:5, Name:Keoki, Major:ECE, Enrollment:No, Year:Freshman, Age:22
ID:65, Name:Kathie, Major:AA, Enrollment:Yes, Year:Sophomore, Age:20
ID:36, Name:Halona, Major:ME, Enrollment:No, Year:Senior, Age:15
ID:61, Name:Kaileigh, Major:CS, Enrollment:Yes, Year:Freshman, Age:17
ID:34, Name:Indyia, Major:ME, Enrollment:Yes, Year:Junior, Age:27
ID:25, Name:Jandiel, Major:IE, Enrollment:No, Year:Freshman, Age:21
ID:49, Name:Kaan, Major:ECE, Enrollment:Yes, Year:Freshman, Age:26
ID:24, Name:Kasi, Major:AA, Enrollment:Yes, Year:Sophomore, Age:19
ID:37, Name:Kharli, Major:ECE, Enrollment:Yes, Year:Senior, Age:20
ID:42, Name:Musfirah, Major:IE, Enrollment:Yes, Year:Senior, Age:20
ID:12, Name:Luise, Major:CS, Enrollment:No, Year:Senior, Age:25
ID:74, Name:Kyliee, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:31, Name:Lanette, Major:BME, Enrollment:No, Year:Sophomore, Age:28
ID:2, Name:Merna, Major:CS, Enrollment:Yes, Year:Freshman, Age:14
ID:62, Name:Lynkoln, Major:AA, Enrollment:Yes, Year:Freshman, Age:13
ID:47, Name:Marilyn, Major:ECE, Enrollment:No, Year:Junior, Age:14
ID:53, Name:Nyaomi, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:57, Name:Nima, Major:BME, Enrollment:No, Year:Senior, Age:28
ID:71, Name:Naszir, Major:CS, Enrollment:No, Year:Sophomore, Age:27
ID:52, Name:Vianka, Major:ECE, Enrollment:No, Year:Senior, Age:25
ID:73, Name:Valyn, Major:CHE, Enrollment:Yes, Year:Senior, Age:29
ID:1, Name:Vaibhav, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:7, Name:Rayquan, Major:ECE, Enrollment:Yes, Year:Freshman, Age:24
ID:13, Name:Quinn, Major:CS, Enrollment:No, Year:Sophomore, Age:13
ID:28, Name:Toa, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:46, Name:Timo, Major:CS, Enrollment:No, Year:Freshman, Age:26
ID:75, Name:Scotty, Major:CS, Enrollment:Yes, Year:Senior, Age:23
ID:4, Name:Rifka, Major:CS, Enrollment:No, Year:Junior, Age:25
ID:50, Name:Roiza, Major:BME, Enrollment:Yes, Year:Sophomore, Age:16
ID:66, Name:Roddrick, Major:AA, Enrollment:Yes, Year:Freshman, Age:21
ID:45, Name:Vinn, Major:AA, Enrollment:No, Year:Junior, Age:12
ID:3, Name:Zyler, Major:IE, Enrollment:No, Year:Sophomore, Age:12
ID:59, Name:Yadhira, Major:CHE, Enrollment:No, Year:Sophomore, Age:22
ID:22, Name:Xiomara, Major:AA, Enrollment:No, Year:Junior, Age:10
Write to db
