ID:200, Name:Lovely, Major:BME, Enrollment:No, Year:Freshman, Age:21
ID:125, Name:Truett, Major:ABE, Enrollment:No, Year:Freshman, Age:20
ID:83, Name:Mariangel, Major:ABE, Enrollment:Yes, Year:Junior, Age:20
ID:158, Name:Odinn, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:117, Name:Lamyiah, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:133, Name:Arilynn, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:33, Name:Mehjabeen, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:148, Name:Kashlyn, Major:IE, Enrollment:No, Year:Junior, Age:18
ID:108, Name:Aryan, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:32, Name:Zhane, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:81, Name:Riah, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:105, Name:Avis, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:134, Name:Trygve, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:65, Name:Ruger, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:141, Name:Ilithyia, Major:AA, Enrollment:No, Year:Sophomore, Age:18
ID:143, Name:Aashirya, Major:CHE, Enrollment:Yes, Year:Senior, Age:18
ID:77, Name:Brayen, Major:AA, Enrollment:Yes, Year:Sophomore, Age:18
ID:22, Name:Rohan, Major:IE, Enrollment:No, Year:Junior, Age:19
ID:194, Name:Lou, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:187, Name:Ambrosia, Major:BME, Enrollment:No, Year:Sophomore, Age:18
ID:122, Name:Natalia, Major:CS, Enrollment:No, Year:Freshman, Age:18
ID:151, Name:Lema, Major:CS, Enrollment:No, Year:Sophomore, Age:18
ID:137, Name:Asa, Major:ME, Enrollment:Yes, Year:Sophomore, Age:19
ID:56, Name:Ramy, Major:CHE, Enrollment:No, Year:Freshman, Age:19
ID:104, Name:Kyen, Major:ABE, Enrollment:Yes, Year:Freshman, Age:19
ID:199, Name:Kaimani, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:123, Name:Zaylor, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:184, Name:Jazier, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:93, Name:Samus, Major:BME, Enrollment:Yes, Year:Senior, Age:19
ID:121, Name:Geraldo, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:19
ID:135, Name:Stellaluna, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:197, Name:Raedyn, Major:BME, Enrollment:No, Year:Sophomore, Age:19
ID:106, Name:Farzona, Major:ME, Enrollment:Yes, Year:Freshman, Age:19
ID:190, Name:Berel, Major:ECE, Enrollment:No, Year:Senior, Age:19
ID:20, Name:Nili, Major:ECE, Enrollment:No, Year:Sophomore, Age:19
ID:30, Name:Cherilyn, Major:CS, Enrollment:No, Year:Freshman, Age:19
ID:18, Name:Evina, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:183, Name:Kyler, Major:ECE, Enrollment:No, Year:Freshman, Age:19
ID:118, Name:Saryiah, Major:AA, Enrollment:Yes, Year:Freshman, Age:19
ID:149, Name:Joylynn, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:173, Name:Sonam, Major:CHE, Enrollment:No, Year:Freshman, Age:19
ID:42, Name:Nitara, Major:IE, Enrollment:Yes, Year:Senior, Age:19
ID:44, Name:Raegyn, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:41, Name:Emily, Major:CS, Enrollment:Yes, Year:Senior, Age:19
ID:176, Name:Damiyah, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:95, Name:Sahid, Major:CS, Enrollment:Yes, Year:Freshman, Age:20
ID:130, Name:Ramaya, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:112, Name:Alaysha, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:114, Name:Shifra, Major:CS, Enrollment:Yes, Year:Sophomore, Age:20
ID:103, Name:Aliani, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:97, Name:Rhylee, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:152, Name:Keslee, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:166, Name:Kaylianna, Major:BME, Enrollment:No, Year:Senior, Age:20
