ID:200, Name:Lovely, Major:BME, Enrollment:No, Year:Freshman, Age:21
ID:117, Name:Lamyiah, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:108, Name:Aryan, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:25, Name:Aedin, Major:CS, Enrollment:No, Year:Sophomore, Age:20
ID:88, Name:Abdulai, Major:BME, Enrollment:Yes, Year:Sophomore, Age:21
ID:16, Name:Addelynn, Major:ECE, Enrollment:Yes, Year:Junior, Age:21
ID:136, Name:Alys, Major:AA, Enrollment:No, Year:Freshman, Age:22
ID:160, Name:Aiydan, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:21, Name:Aleksandr, Major:CS, Enrollment:No, Year:Senior, Age:20
ID:112, Name:Alaysha, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:58, Name:Amiyah, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:187, Name:Ambrosia, Major:BME, Enrollment:No, Year:Sophomore, Age:18
ID:54, Name:Analeigh, Major:AA, Enrollment:No, Year:Senior, Age:20
ID:163, Name:Anevay, Major:ME, Enrollment:Yes, Year:Senior, Age:19
ID:11, Name:Anir, Major:ECE, Enrollment:Yes, Year:Junior, Age:21
ID:69, Name:Araia, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:133, Name:Arilynn, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:24, Name:Averianna, Major:ECE, Enrollment:Yes, Year:Junior, Age:20
ID:153, Name:Auna, Major:AA, Enrollment:Yes, Year:Junior, Age:21
ID:139, Name:August, Major:CS, Enrollment:No, Year:Junior, Age:22
ID:28, Name:Bradly, Major:ECE, Enrollment:No, Year:Junior, Age:20
ID:113, Name:Azayla, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:126, Name:Basel, Major:ABE, Enrollment:Yes, Year:Senior, Age:19
ID:185, Name:Azaylia, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:64, Name:Benoit, Major:IE, Enrollment:Yes, Year:Senior, Age:21
ID:35, Name:Keliah, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:102, Name:Chenxi, Major:CHE, Enrollment:Yes, Year:Freshman, Age:19
ID:154, Name:Brigg, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:78, Name:Braelyn, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:98, Name:Breighlyn, Major:CS, Enrollment:No, Year:Junior, Age:21
ID:77, Name:Brayen, Major:AA, Enrollment:Yes, Year:Sophomore, Age:18
ID:43, Name:Evleen, Major:CS, Enrollment:Yes, Year:Freshman, Age:21
ID:10, Name:Copelynn, Major:ECE, Enrollment:Yes, Year:Freshman, Age:21
ID:94, Name:Chloe, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:84, Name:Colten, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:18, Name:Evina, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:176, Name:Damiyah, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:3, Name:Cosme, Major:AA, Enrollment:No, Year:Junior, Age:22
ID:51, Name:Emmerie, Major:CS, Enrollment:Yes, Year:Freshman, Age:18
ID:155, Name:Damontay, Major:ECE, Enrollment:No, Year:Sophomore, Age:21
ID:162, Name:Drexler, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:193, Name:Denilson, Major:BME, Enrollment:No, Year:Freshman, Age:18
ID:179, Name:Dee, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:101, Name:Dianne, Major:IE, Enrollment:Yes, Year:Sophomore, Age:20
ID:41, Name:Emily, Major:CS, Enrollment:Yes, Year:Senior, Age:19
ID:127, Name:Everrett, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:120, Name:Jacen, Major:ME, Enrollment:Yes, Year:Junior, Age:20
ID:57, Name:Findley, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:2, Name:Eyian, Major:CHE, Enrollment:Yes, Year:Senior, Age:20
ID:19, Name:Finnick, Major:IE, Enrollment:Yes, Year:Junior, Age:22
ID:196, Name:Inari, Major:BME, Enrollment:Yes, Year:Junior, Age:21
ID:121, Name:Geraldo, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:19
ID:76, Name:Gayatri, Major:CHE, Enrollment:Yes, Year:Senior, Age:21
ID:141, Name:Ilithyia, Major:AA, Enrollment:No, Year:Sophomore, Age:18
ID:161, Name:Haydon, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:40, Name:Jayln, Major:BME, Enrollment:Yes, Year:Senior, Age:21
ID:177, Name:Jailene, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:144, Name:Jaeshaun, Major:ABE, Enrollment:No, Year:Freshman, Age:22
ID:109, Name:Jamarious, Major:ECE, Enrollment:No, Year:Freshman, Age:22
ID:129, Name:Jayah, Major:CHE, Enrollment:Yes, Year:Junior, Age:20
ID:12, Name:Jaxston, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:180, Name:Jaretzi, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:17, Name:Javan, Major:AA, Enrollment:No, Year:Freshman, Age:21
ID:13, Name:Jerzie, Major:CHE, Enrollment:No, Year:Freshman, Age:19
ID:178, Name:Karsyn, Major:ECE, Enrollment:No, Year:Junior, Age:22
ID:37, Name:Juandavid, Major:ECE, Enrollment:Yes, Year:Freshman, Age:21
ID:72, Name:Joelie, Major:BME, Enrollment:No, Year:Junior, Age:22
ID:191, Name:Jovonte, Major:ME, Enrollment:No, Year:Freshman, Age:18
ID:131, Name:Kaheem, Major:ABE, Enrollment:Yes, Year:Freshman, Age:22
ID:171, Name:Kanishk, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:148, Name:Kashlyn, Major:IE, Enrollment:No, Year:Junior, Age:18
ID:52, Name:Keilynn, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:183, Name:Kyler, Major:ECE, Enrollment:No, Year:Freshman, Age:19
ID:152, Name:Keslee, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:104, Name:Kyen, Major:ABE, Enrollment:Yes, Year:Freshman, Age:19
ID:68, Name:Kyce, Major:AA, Enrollment:No, Year:Freshman, Age:18
ID:128, Name:Leolani, Major:BME, Enrollment:Yes, Year:Freshman, Age:22
ID:172, Name:Lejend, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:164, Name:Lexander, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:116, Name:Melquisedec, Major:ME, Enrollment:No, Year:Junior, Age:21
ID:107, Name:Maziya, Major:CHE, Enrollment:No, Year:Senior, Age:21
