ID:196, Name:Camya, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:159, Name:Oaklyn, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:201, Name:Zsazsa, Major:ABE, Enrollment:No, Year:Junior, Age:10
ID:206, Name:Bithiah, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:51, Name:Lejend, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:146, Name:Artorius, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:102, Name:Seanix, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:40, Name:Louie, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:563, Name:Keilyn, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:433, Name:Bo, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:578, Name:Nirvi, Major:BME, Enrollment:Yes, Year:Junior, Age:10
ID:316, Name:Lyan, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:320, Name:Kaleia, Major:CHE, Enrollment:Yes, Year:Senior, Age:10
ID:356, Name:Anah, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:352, Name:Layken, Major:BME, Enrollment:No, Year:Senior, Age:10
ID:600, Name:Harsha, Major:CS, Enrollment:Yes, Year:Freshman, Age:10
ID:236, Name:Arland, Major:CHE, Enrollment:Yes, Year:Junior, Age:11
ID:324, Name:Anyiah, Major:ME, Enrollment:No, Year:Sophomore, Age:11
ID:221, Name:Nicolai, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:357, Name:Symiah, Major:IE, Enrollment:No, Year:Freshman, Age:11
ID:344, Name:Amarah, Major:AA, Enrollment:Yes, Year:Freshman, Age:11
ID:369, Name:Ina, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:93, Name:Nick, Major:CHE, Enrollment:No, Year:Freshman, Age:11
ID:116, Name:Brentley, Major:CS, Enrollment:Yes, Year:Junior, Age:11
ID:217, Name:Rian, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:154, Name:Romeo, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:129, Name:Arwyn, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:65, Name:Eastan, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:508, Name:Madysen, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:11
ID:512, Name:Ivette, Major:ABE, Enrollment:No, Year:Senior, Age:11
ID:507, Name:Yassmin, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:11
ID:1, Name:Cayenne, Major:CHE, Enrollment:Yes, Year:Junior, Age:11
ID:552, Name:Zera, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:378, Name:Shreeja, Major:ECE, Enrollment:No, Year:Freshman, Age:11
ID:393, Name:Umu, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:11
ID:447, Name:Brasen, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:506, Name:Riddick, Major:ABE, Enrollment:No, Year:Freshman, Age:11
ID:505, Name:Neola, Major:CS, Enrollment:Yes, Year:Sophomore, Age:11
ID:16, Name:Ladan, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:225, Name:Deandria, Major:ME, Enrollment:Yes, Year:Sophomore, Age:12
ID:32, Name:Daquan, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:561, Name:Serenna, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:12
ID:439, Name:Darrius, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:406, Name:Ilaria, Major:CS, Enrollment:No, Year:Senior, Age:12
ID:539, Name:Osagie, Major:ABE, Enrollment:Yes, Year:Senior, Age:12
ID:253, Name:Shakti, Major:ABE, Enrollment:No, Year:Sophomore, Age:12
ID:251, Name:Zumra, Major:ABE, Enrollment:No, Year:Senior, Age:12
ID:73, Name:Vylet, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:384, Name:Oak, Major:CS, Enrollment:Yes, Year:Senior, Age:12
ID:38, Name:Kreed, Major:ABE, Enrollment:Yes, Year:Junior, Age:12
ID:258, Name:Sibel, Major:IE, Enrollment:No, Year:Junior, Age:12
ID:118, Name:Shelia, Major:ME, Enrollment:No, Year:Senior, Age:12
ID:510, Name:Katerina, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:145, Name:Arjav, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:503, Name:Ayron, Major:ABE, Enrollment:Yes, Year:Senior, Age:12
ID:20, Name:Dhruvan, Major:CS, Enrollment:No, Year:Junior, Age:12
ID:191, Name:Harlequin, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:12
ID:450, Name:Danny, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:12
ID:96, Name:Gyanna, Major:IE, Enrollment:Yes, Year:Junior, Age:12
ID:525, Name:Arihana, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:480, Name:Naliya, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:504, Name:Anasophia, Major:ABE, Enrollment:Yes, Year:Freshman, Age:12
ID:273, Name:Rayne, Major:BME, Enrollment:No, Year:Sophomore, Age:12
ID:49, Name:Ruthanna, Major:AA, Enrollment:Yes, Year:Freshman, Age:12
ID:308, Name:Avyn, Major:BME, Enrollment:No, Year:Freshman, Age:12
ID:277, Name:Billy, Major:CHE, Enrollment:No, Year:Sophomore, Age:12
ID:330, Name:Mackenzy, Major:IE, Enrollment:Yes, Year:Junior, Age:12
ID:266, Name:Giuseppe, Major:IE, Enrollment:Yes, Year:Freshman, Age:12
ID:15, Name:Alasdair, Major:ME, Enrollment:Yes, Year:Sophomore, Age:12
ID:455, Name:Copper, Major:ABE, Enrollment:Yes, Year:Freshman, Age:13
ID:165, Name:Yanky, Major:ECE, Enrollment:No, Year:Senior, Age:13
ID:177, Name:Damon, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:164, Name:Kyran, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:443, Name:Ella, Major:ECE, Enrollment:Yes, Year:Freshman, Age:13
ID:50, Name:Ayana, Major:ECE, Enrollment:Yes, Year:Junior, Age:13
ID:448, Name:Bambi, Major:ECE, Enrollment:No, Year:Senior, Age:13
