ID:494, Name:Aliyan, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:41, Name:Mohit, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:39, Name:Wyatt, Major:CS, Enrollment:Yes, Year:Freshman, Age:10
ID:158, Name:Milayna, Major:AA, Enrollment:No, Year:Freshman, Age:10
ID:595, Name:Halie, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:154, Name:Rafeal, Major:CHE, Enrollment:No, Year:Junior, Age:10
ID:28, Name:Carleigh, Major:AA, Enrollment:Yes, Year:Sophomore, Age:10
ID:446, Name:Rishabh, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:486, Name:Srihith, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:188, Name:Zaven, Major:CS, Enrollment:No, Year:Freshman, Age:10
ID:461, Name:Laveya, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:426, Name:Klein, Major:IE, Enrollment:No, Year:Freshman, Age:10
ID:99, Name:Amir, Major:CHE, Enrollment:Yes, Year:Junior, Age:10
ID:561, Name:Royalti, Major:CS, Enrollment:No, Year:Sophomore, Age:10
ID:125, Name:Amiira, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:83, Name:Brooklee, Major:CHE, Enrollment:Yes, Year:Freshman, Age:10
ID:62, Name:Nayel, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:508, Name:Naileah, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:145, Name:Yeimi, Major:ECE, Enrollment:Yes, Year:Junior, Age:10
ID:518, Name:Dziyah, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:127, Name:Zoe, Major:CHE, Enrollment:No, Year:Junior, Age:10
ID:132, Name:Alethea, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:575, Name:Kassi, Major:ME, Enrollment:No, Year:Sophomore, Age:10
ID:385, Name:Mirabel, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:376, Name:Lavonna, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:11, Name:Avitaj, Major:CS, Enrollment:No, Year:Sophomore, Age:10
ID:388, Name:Yovanny, Major:CHE, Enrollment:No, Year:Sophomore, Age:10
ID:347, Name:Daundre, Major:CHE, Enrollment:No, Year:Freshman, Age:10
ID:359, Name:Riyanna, Major:IE, Enrollment:No, Year:Senior, Age:10
ID:619, Name:Kamai, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:371, Name:Lynn, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:321, Name:Lander, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:621, Name:Evalene, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:9, Name:Nain, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:266, Name:Joell, Major:ECE, Enrollment:No, Year:Freshman, Age:10
ID:338, Name:Hala, Major:CHE, Enrollment:Yes, Year:Junior, Age:10
ID:334, Name:Rakan, Major:CS, Enrollment:No, Year:Sophomore, Age:10
ID:391, Name:Janie, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:128, Name:Eline, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:138, Name:Kariel, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:278, Name:Rowdy, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:517, Name:Divisha, Major:ME, Enrollment:No, Year:Senior, Age:11
ID:566, Name:Areya, Major:AA, Enrollment:Yes, Year:Freshman, Age:11
ID:558, Name:Lucius, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:572, Name:Xane, Major:BME, Enrollment:No, Year:Senior, Age:11
ID:349, Name:Imanuel, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:116, Name:Brylynn, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:344, Name:Mohammadali, Major:CS, Enrollment:No, Year:Junior, Age:11
ID:533, Name:Josuel, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:233, Name:Mackenzy, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:436, Name:Lindsey, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:11
ID:200, Name:Adeline, Major:ME, Enrollment:Yes, Year:Freshman, Age:11
ID:428, Name:Renn, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:458, Name:Michayla, Major:CS, Enrollment:No, Year:Senior, Age:11
ID:463, Name:Dariana, Major:CHE, Enrollment:Yes, Year:Freshman, Age:11
ID:425, Name:Lavaeh, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:427, Name:Jubilee, Major:IE, Enrollment:No, Year:Sophomore, Age:11
ID:396, Name:Xavier, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:511, Name:Illyanna, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:500, Name:Isam, Major:CHE, Enrollment:No, Year:Freshman, Age:11
ID:273, Name:Gilbert, Major:ME, Enrollment:Yes, Year:Freshman, Age:11
ID:153, Name:Durell, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:11
ID:474, Name:Oran, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:483, Name:Akhila, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:267, Name:Cayden, Major:BME, Enrollment:No, Year:Senior, Age:11
ID:262, Name:Ailanny, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:319, Name:Navin, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:605, Name:Ibukunoluwa, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:110, Name:Dhiya, Major:ECE, Enrollment:No, Year:Junior, Age:12
ID:14, Name:Elsbeth, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:538, Name:Opie, Major:ABE, Enrollment:Yes, Year:Junior, Age:12
ID:13, Name:Janisha, Major:ME, Enrollment:Yes, Year:Sophomore, Age:12
ID:529, Name:Claiborne, Major:AA, Enrollment:No, Year:Senior, Age:12
ID:530, Name:Ayline, Major:BME, Enrollment:Yes, Year:Junior, Age:12
ID:263, Name:Tanyia, Major:ME, Enrollment:No, Year:Junior, Age:12
ID:286, Name:Yassine, Major:AA, Enrollment:No, Year:Freshman, Age:12
ID:484, Name:Raef, Major:CS, Enrollment:Yes, Year:Sophomore, Age:12
ID:602, Name:Raeghan, Major:AA, Enrollment:No, Year:Senior, Age:12
ID:105, Name:Nicoli, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:275, Name:Tahirah, Major:BME, Enrollment:No, Year:Sophomore, Age:12
ID:284, Name:Makaiah, Major:BME, Enrollment:Yes, Year:Senior, Age:12
ID:559, Name:Lezlie, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:230, Name:Ariah, Major:BME, Enrollment:No, Year:Freshman, Age:12
