ID:332, Name:Anael, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:60, Name:Dynasty, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:364, Name:Stacie, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:372, Name:Kaylieann, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:62, Name:Karalina, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:327, Name:Jaydden, Major:CS, Enrollment:No, Year:Junior, Age:10
ID:324, Name:Princedavid, Major:ECE, Enrollment:No, Year:Junior, Age:10
ID:481, Name:Danitza, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:401, Name:Ahil, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:483, Name:Lexxy, Major:BME, Enrollment:Yes, Year:Junior, Age:10
ID:373, Name:Cesc, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:379, Name:Liannah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:384, Name:Dorsey, Major:BME, Enrollment:Yes, Year:Freshman, Age:10
ID:484, Name:Keno, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:127, Name:Indyia, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:126, Name:Thai, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:157, Name:Kail, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:181, Name:Imani, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:121, Name:Kataryna, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:95, Name:Kymberly, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:262, Name:Reva, Major:ABE, Enrollment:No, Year:Senior, Age:10
ID:233, Name:Quianna, Major:AA, Enrollment:Yes, Year:Sophomore, Age:10
ID:228, Name:Januel, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:256, Name:Klynn, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:80, Name:Kiah, Major:ABE, Enrollment:No, Year:Senior, Age:10
ID:211, Name:Ariaya, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:10
ID:221, Name:Millan, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:103, Name:Jaylie, Major:CS, Enrollment:No, Year:Freshman, Age:10
ID:638, Name:Chaysen, Major:AA, Enrollment:No, Year:Junior, Age:10
ID:629, Name:Aneeka, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:586, Name:Grettell, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:630, Name:Royall, Major:CHE, Enrollment:No, Year:Senior, Age:10
ID:617, Name:Rileigh, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:503, Name:Raeya, Major:ABE, Enrollment:No, Year:Junior, Age:10
ID:509, Name:Burkleigh, Major:AA, Enrollment:Yes, Year:Senior, Age:10
ID:646, Name:Decklen, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:651, Name:Tierra, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:240, Name:Braysen, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:627, Name:Tinley, Major:ME, Enrollment:Yes, Year:Freshman, Age:11
ID:8, Name:Rigo, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:328, Name:Deetya, Major:BME, Enrollment:No, Year:Senior, Age:11
ID:596, Name:Froylan, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:12, Name:Braeden, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:610, Name:Keneth, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:347, Name:Arishka, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:170, Name:Ellie, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:158, Name:Tahan, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:180, Name:Vayla, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:94, Name:Meera, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:79, Name:Andrei, Major:ECE, Enrollment:Yes, Year:Freshman, Age:11
ID:192, Name:Maclean, Major:IE, Enrollment:No, Year:Senior, Age:11
ID:191, Name:Marylynn, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:85, Name:Payzlie, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:634, Name:Latricia, Major:ABE, Enrollment:No, Year:Senior, Age:11
ID:486, Name:Breylynn, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:413, Name:Alayja, Major:ECE, Enrollment:No, Year:Freshman, Age:11
ID:547, Name:Yusha, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:423, Name:Corbyn, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:386, Name:Dom, Major:ME, Enrollment:No, Year:Senior, Age:11
ID:400, Name:Glen, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:555, Name:Elaijah, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:36, Name:Paij, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:469, Name:Tilak, Major:ABE, Enrollment:No, Year:Freshman, Age:11
ID:449, Name:Ala, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:458, Name:Dash, Major:CS, Enrollment:No, Year:Freshman, Age:11
ID:575, Name:Koralie, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:564, Name:Brin, Major:AA, Enrollment:Yes, Year:Sophomore, Age:11
ID:471, Name:Declan, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:344, Name:Vincy, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:636, Name:Roran, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:155, Name:Demoni, Major:AA, Enrollment:Yes, Year:Freshman, Age:12
ID:464, Name:Phinn, Major:ME, Enrollment:Yes, Year:Senior, Age:12
ID:470, Name:Brin, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:468, Name:Indee, Major:BME, Enrollment:No, Year:Junior, Age:12
ID:331, Name:Caterina, Major:BME, Enrollment:Yes, Year:Junior, Age:12
ID:528, Name:Kesha, Major:ABE, Enrollment:Yes, Year:Freshman, Age:12
ID:479, Name:Karon, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:113, Name:Mykell, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:12
ID:128, Name:Piper, Major:BME, Enrollment:No, Year:Sophomore, Age:12
ID:637, Name:Tymarion, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:478, Name:Maali, Major:BME, Enrollment:Yes, Year:Freshman, Age:12
ID:472, Name:Kalex, Major:CS, Enrollment:No, Year:Freshman, Age:12
ID:265, Name:Karalina, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:12
ID:557, Name:Reyana, Major:ABE, Enrollment:No, Year:Senior, Age:12
ID:246, Name:Deivy, Major:ECE, Enrollment:Yes, Year:Freshman, Age:12
ID:238, Name:Shriyansh, Major:BME, Enrollment:No, Year:Senior, Age:12
ID:236, Name:Westlynn, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:273, Name:Yesly, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:301, Name:Sanah, Major:ME, Enrollment:No, Year:Junior, Age:12
ID:261, Name:Moses, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:200, Name:Manuella, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:428, Name:Tailee, Major:IE, Enrollment:No, Year:Sophomore, Age:12
ID:378, Name:Decklan, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:12
ID:563, Name:Kylea, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:620, Name:Lera, Major:BME, Enrollment:No, Year:Sophomore, Age:12
ID:230, Name:Miarose, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:598, Name:Nadira, Major:ECE, Enrollment:No, Year:Sophomore, Age:12
ID:603, Name:Jeovany, Major:ME, Enrollment:No, Year:Senior, Age:12
ID:660, Name:Karuna, Major:ECE, Enrollment:No, Year:Sophomore, Age:12
ID:72, Name:Kyliee, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:82, Name:Chana, Major:CS, Enrollment:Yes, Year:Sophomore, Age:12
ID:31, Name:Cashten, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:51, Name:Afia, Major:ME, Enrollment:Yes, Year:Junior, Age:12
ID:25, Name:Said, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:494, Name:Algernon, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:13
ID:607, Name:Lareine, Major:AA, Enrollment:No, Year:Junior, Age:13
ID:501, Name:Hollyann, Major:ABE, Enrollment:No, Year:Sophomore, Age:13
ID:295, Name:Hadlie, Major:ECE, Enrollment:No, Year:Senior, Age:13
ID:309, Name:Janese, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:176, Name:Cirilo, Major:CS, Enrollment:No, Year:Freshman, Age:13
ID:369, Name:Yona, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:291, Name:Deryck, Major:CHE, Enrollment:No, Year:Junior, Age:13
ID:318, Name:Damarii, Major:ABE, Enrollment:No, Year:Junior, Age:13
ID:371, Name:Klinton, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:146, Name:Chikaima, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:588, Name:Furkan, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:306, Name:Amit, Major:ECE, Enrollment:No, Year:Junior, Age:13
ID:322, Name:Sucely, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:502, Name:Scout, Major:IE, Enrollment:No, Year:Sophomore, Age:13
ID:546, Name:Epic, Major:CS, Enrollment:Yes, Year:Senior, Age:13
ID:593, Name:Nakita, Major:ABE, Enrollment:No, Year:Sophomore, Age:13
ID:510, Name:Azalaya, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:140, Name:Jeanna, Major:CS, Enrollment:Yes, Year:Sophomore, Age:13
ID:534, Name:Jensyn, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:66, Name:Jahkobi, Major:ABE, Enrollment:Yes, Year:Senior, Age:13
ID:68, Name:Chayse, Major:BME, Enrollment:Yes, Year:Junior, Age:13
ID:107, Name:Kenyatta, Major:CS, Enrollment:No, Year:Freshman, Age:13
ID:46, Name:Fallou, Major:ECE, Enrollment:Yes, Year:Freshman, Age:13
ID:342, Name:Albree, Major:ABE, Enrollment:No, Year:Senior, Age:13
ID:171, Name:Margaux, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:435, Name:Ahmyah, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:276, Name:Cambryn, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:341, Name:Jesiah, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:422, Name:Sunshine, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:104, Name:Josceline, Major:CS, Enrollment:Yes, Year:Sophomore, Age:13
ID:1, Name:Ariyon, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:612, Name:Marlen, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:619, Name:Savayah, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:247, Name:Tennessee, Major:CHE, Enrollment:Yes, Year:Freshman, Age:13
ID:343, Name:Layia, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:622, Name:Kalai, Major:ECE, Enrollment:No, Year:Sophomore, Age:13
ID:456, Name:Khalise, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:57, Name:Britt, Major:ME, Enrollment:Yes, Year:Freshman, Age:13
ID:368, Name:Rhoda, Major:ECE, Enrollment:No, Year:Senior, Age:13
ID:47, Name:Adrianne, Major:BME, Enrollment:No, Year:Freshman, Age:13
ID:451, Name:Maven, Major:IE, Enrollment:Yes, Year:Senior, Age:13
ID:365, Name:Saelor, Major:AA, Enrollment:Yes, Year:Senior, Age:14
ID:543, Name:Liriel, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:311, Name:Issa, Major:BME, Enrollment:Yes, Year:Junior, Age:14
ID:370, Name:Makeda, Major:CHE, Enrollment:No, Year:Junior, Age:14
ID:178, Name:Hemi, Major:AA, Enrollment:Yes, Year:Senior, Age:14
ID:54, Name:Kateryna, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:14
ID:455, Name:Amori, Major:IE, Enrollment:Yes, Year:Freshman, Age:14
ID:448, Name:Casyn, Major:AA, Enrollment:No, Year:Freshman, Age:14
ID:460, Name:Percy, Major:CS, Enrollment:No, Year:Freshman, Age:14
ID:289, Name:Nicha, Major:BME, Enrollment:No, Year:Sophomore, Age:14
ID:409, Name:Destin, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:433, Name:Haruka, Major:ME, Enrollment:Yes, Year:Sophomore, Age:14
ID:81, Name:Halston, Major:IE, Enrollment:Yes, Year:Senior, Age:14
ID:380, Name:Rima, Major:ABE, Enrollment:No, Year:Junior, Age:14
ID:213, Name:Salwa, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:26, Name:Lynox, Major:ABE, Enrollment:Yes, Year:Junior, Age:14
ID:393, Name:Dre, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:223, Name:Lon, Major:ECE, Enrollment:Yes, Year:Junior, Age:14
ID:218, Name:Jaira, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:407, Name:Xandyr, Major:BME, Enrollment:Yes, Year:Freshman, Age:14
ID:161, Name:Javonnie, Major:ME, Enrollment:Yes, Year:Junior, Age:14
ID:330, Name:Shakayla, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:162, Name:Yisrael, Major:AA, Enrollment:No, Year:Freshman, Age:14
ID:657, Name:Stan, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:362, Name:Salimata, Major:BME, Enrollment:Yes, Year:Junior, Age:14
ID:338, Name:Noe, Major:ME, Enrollment:Yes, Year:Senior, Age:14
ID:125, Name:Rawlins, Major:ME, Enrollment:No, Year:Senior, Age:14
ID:112, Name:Graceyn, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:337, Name:Trowa, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:163, Name:Beatrice, Major:ECE, Enrollment:No, Year:Sophomore, Age:14
ID:594, Name:Viridiana, Major:ECE, Enrollment:Yes, Year:Junior, Age:14
ID:355, Name:Nandhan, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:266, Name:Makel, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:194, Name:Natan, Major:IE, Enrollment:No, Year:Sophomore, Age:15
ID:395, Name:Kairi, Major:IE, Enrollment:Yes, Year:Sophomore, Age:15
ID:388, Name:Briyah, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:508, Name:Suhayla, Major:CHE, Enrollment:No, Year:Senior, Age:15
ID:142, Name:Rozalynn, Major:ME, Enrollment:No, Year:Sophomore, Age:15
ID:521, Name:Braxten, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:600, Name:Jaaziah, Major:ME, Enrollment:No, Year:Junior, Age:15
ID:39, Name:Makinzie, Major:IE, Enrollment:No, Year:Sophomore, Age:15
ID:37, Name:Sareth, Major:BME, Enrollment:No, Year:Junior, Age:15
ID:67, Name:Berit, Major:ME, Enrollment:Yes, Year:Freshman, Age:15
ID:431, Name:Jahmari, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:50, Name:Can, Major:ME, Enrollment:No, Year:Freshman, Age:15
ID:551, Name:Nation, Major:ABE, Enrollment:No, Year:Junior, Age:15
ID:215, Name:Kay, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:553, Name:Novalei, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:235, Name:Kaycee, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:15
ID:453, Name:Devanshi, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:15
ID:335, Name:Gwyndolyn, Major:BME, Enrollment:Yes, Year:Sophomore, Age:15
ID:314, Name:Heavenlyjoy, Major:CHE, Enrollment:No, Year:Sophomore, Age:15
ID:562, Name:Rhyan, Major:BME, Enrollment:Yes, Year:Junior, Age:15
ID:281, Name:Mona, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:76, Name:Kye, Major:ABE, Enrollment:No, Year:Sophomore, Age:15
ID:385, Name:Willie, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:114, Name:Jaevion, Major:ECE, Enrollment:Yes, Year:Junior, Age:15
ID:410, Name:Yaxeni, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:571, Name:Danai, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:90, Name:Brianna, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:24, Name:Annagrace, Major:CHE, Enrollment:Yes, Year:Freshman, Age:15
ID:27, Name:Jaemeson, Major:BME, Enrollment:Yes, Year:Freshman, Age:16
ID:490, Name:Muntasir, Major:ME, Enrollment:No, Year:Freshman, Age:16
ID:224, Name:Enza, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:232, Name:Alauna, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:97, Name:Milad, Major:BME, Enrollment:No, Year:Freshman, Age:16
ID:499, Name:Skylei, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:450, Name:Derrell, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:473, Name:Denasia, Major:ME, Enrollment:No, Year:Sophomore, Age:16
ID:288, Name:Elyce, Major:CHE, Enrollment:Yes, Year:Junior, Age:16
ID:572, Name:Anik, Major:ECE, Enrollment:Yes, Year:Junior, Age:16
ID:89, Name:Rigdon, Major:CS, Enrollment:Yes, Year:Sophomore, Age:16
ID:45, Name:Edessa, Major:ME, Enrollment:No, Year:Freshman, Age:16
ID:539, Name:Sussie, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:316, Name:Avory, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:274, Name:Karai, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:124, Name:Adelie, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:326, Name:Gittel, Major:CHE, Enrollment:Yes, Year:Senior, Age:16
ID:260, Name:Rue, Major:BME, Enrollment:Yes, Year:Junior, Age:16
ID:145, Name:Khyron, Major:CS, Enrollment:No, Year:Junior, Age:16
ID:109, Name:Kelen, Major:CHE, Enrollment:Yes, Year:Senior, Age:16
ID:591, Name:Kaylin, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:640, Name:Weiland, Major:CHE, Enrollment:No, Year:Senior, Age:16
ID:538, Name:Purav, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:537, Name:Angelyn, Major:BME, Enrollment:Yes, Year:Junior, Age:16
ID:320, Name:Olivander, Major:ECE, Enrollment:No, Year:Junior, Age:16
ID:618, Name:Vanity, Major:AA, Enrollment:Yes, Year:Freshman, Age:17
ID:122, Name:Raeleigh, Major:AA, Enrollment:Yes, Year:Senior, Age:17
ID:459, Name:Hiroshi, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:17
ID:2, Name:Tayte, Major:ME, Enrollment:Yes, Year:Junior, Age:17
ID:402, Name:Keevin, Major:CHE, Enrollment:Yes, Year:Freshman, Age:17
ID:264, Name:Brodee, Major:CHE, Enrollment:Yes, Year:Freshman, Age:17
ID:656, Name:Luthien, Major:IE, Enrollment:Yes, Year:Freshman, Age:17
ID:411, Name:Rieley, Major:BME, Enrollment:Yes, Year:Junior, Age:17
ID:399, Name:Jovian, Major:CHE, Enrollment:No, Year:Senior, Age:17
ID:251, Name:Brooks, Major:CHE, Enrollment:No, Year:Senior, Age:17
ID:625, Name:Josia, Major:CHE, Enrollment:Yes, Year:Junior, Age:17
ID:445, Name:Zackariah, Major:BME, Enrollment:No, Year:Senior, Age:17
ID:42, Name:Kami, Major:BME, Enrollment:Yes, Year:Junior, Age:17
ID:556, Name:Halston, Major:ECE, Enrollment:No, Year:Senior, Age:17
ID:363, Name:Danisha, Major:IE, Enrollment:No, Year:Junior, Age:17
ID:193, Name:Catarina, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:189, Name:Zayir, Major:IE, Enrollment:Yes, Year:Freshman, Age:17
ID:187, Name:Ibtihaj, Major:IE, Enrollment:No, Year:Senior, Age:17
ID:149, Name:Amunique, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:17
ID:150, Name:Jaydyn, Major:CS, Enrollment:Yes, Year:Senior, Age:17
ID:529, Name:Olivine, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:199, Name:Darey, Major:ME, Enrollment:Yes, Year:Sophomore, Age:17
ID:20, Name:Emree, Major:ABE, Enrollment:Yes, Year:Senior, Age:17
ID:566, Name:Breelyn, Major:BME, Enrollment:No, Year:Freshman, Age:17
ID:313, Name:Arieah, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:17
ID:574, Name:Kemaya, Major:IE, Enrollment:No, Year:Sophomore, Age:17
ID:308, Name:Viola, Major:ECE, Enrollment:Yes, Year:Senior, Age:17
ID:548, Name:Lukin, Major:ABE, Enrollment:No, Year:Sophomore, Age:17
ID:544, Name:Evanne, Major:CHE, Enrollment:Yes, Year:Junior, Age:17
ID:352, Name:Keona, Major:ABE, Enrollment:No, Year:Senior, Age:17
ID:294, Name:Quavion, Major:CS, Enrollment:No, Year:Junior, Age:17
ID:605, Name:Syncere, Major:CS, Enrollment:No, Year:Freshman, Age:17
ID:132, Name:Dijon, Major:ME, Enrollment:No, Year:Senior, Age:17
ID:601, Name:Jovey, Major:AA, Enrollment:No, Year:Sophomore, Age:17
ID:73, Name:Annalina, Major:BME, Enrollment:Yes, Year:Junior, Age:17
ID:29, Name:Camori, Major:AA, Enrollment:Yes, Year:Freshman, Age:17
ID:608, Name:Kaiser, Major:AA, Enrollment:No, Year:Senior, Age:17
ID:520, Name:Aadil, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:519, Name:Rami, Major:ECE, Enrollment:No, Year:Sophomore, Age:17
ID:216, Name:Aythan, Major:ECE, Enrollment:No, Year:Freshman, Age:17
ID:220, Name:Findley, Major:ME, Enrollment:No, Year:Sophomore, Age:17
ID:134, Name:Richie, Major:AA, Enrollment:No, Year:Freshman, Age:17
ID:353, Name:Alonah, Major:ABE, Enrollment:No, Year:Freshman, Age:18
ID:323, Name:Lillya, Major:CHE, Enrollment:No, Year:Senior, Age:18
ID:374, Name:Gianina, Major:CHE, Enrollment:No, Year:Senior, Age:18
ID:340, Name:Addilynn, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:507, Name:Juli, Major:ABE, Enrollment:Yes, Year:Junior, Age:18
ID:23, Name:Lorina, Major:CHE, Enrollment:Yes, Year:Senior, Age:18
ID:167, Name:Kahlani, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:34, Name:Rosaleen, Major:ABE, Enrollment:No, Year:Senior, Age:18
ID:225, Name:Kariana, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:135, Name:Islay, Major:CS, Enrollment:Yes, Year:Freshman, Age:18
ID:517, Name:Kellie, Major:IE, Enrollment:Yes, Year:Junior, Age:18
ID:541, Name:Rei, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:169, Name:Livanna, Major:BME, Enrollment:Yes, Year:Sophomore, Age:18
ID:86, Name:Huston, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:531, Name:Halyn, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:623, Name:Risa, Major:BME, Enrollment:No, Year:Senior, Age:18
ID:106, Name:Elgin, Major:ABE, Enrollment:Yes, Year:Freshman, Age:18
ID:10, Name:Addisyn, Major:AA, Enrollment:No, Year:Sophomore, Age:18
ID:454, Name:Janvi, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:655, Name:Ausar, Major:ME, Enrollment:Yes, Year:Junior, Age:18
ID:650, Name:Jonah, Major:IE, Enrollment:Yes, Year:Sophomore, Age:18
ID:615, Name:Damyra, Major:ABE, Enrollment:No, Year:Senior, Age:19
ID:174, Name:Carmon, Major:AA, Enrollment:No, Year:Sophomore, Age:19
ID:173, Name:Jalasia, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:609, Name:Jeriah, Major:ABE, Enrollment:No, Year:Senior, Age:19
ID:93, Name:Alon, Major:ME, Enrollment:Yes, Year:Junior, Age:19
ID:357, Name:Audrie, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:92, Name:Trypp, Major:ABE, Enrollment:No, Year:Freshman, Age:19
ID:351, Name:Mikiyah, Major:CS, Enrollment:No, Year:Senior, Age:19
ID:579, Name:Hansini, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:19
ID:143, Name:Braelee, Major:CS, Enrollment:No, Year:Freshman, Age:19
ID:580, Name:Lyrik, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:19
ID:277, Name:Yedidya, Major:ME, Enrollment:No, Year:Freshman, Age:19
ID:463, Name:Mycah, Major:ECE, Enrollment:No, Year:Senior, Age:19
ID:239, Name:Rowdie, Major:CS, Enrollment:Yes, Year:Senior, Age:19
ID:397, Name:Harmani, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:222, Name:Shaun, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:389, Name:Rafat, Major:CS, Enrollment:Yes, Year:Senior, Age:19
ID:297, Name:Rhiley, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:426, Name:Eze, Major:ME, Enrollment:No, Year:Freshman, Age:19
ID:430, Name:Araya, Major:ECE, Enrollment:Yes, Year:Senior, Age:19
ID:285, Name:Whitaker, Major:IE, Enrollment:Yes, Year:Sophomore, Age:19
ID:284, Name:Shyann, Major:ECE, Enrollment:No, Year:Freshman, Age:19
ID:516, Name:Negan, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:78, Name:Kampbell, Major:ABE, Enrollment:No, Year:Sophomore, Age:19
ID:375, Name:Hopelynn, Major:AA, Enrollment:Yes, Year:Senior, Age:19
ID:206, Name:Favour, Major:ME, Enrollment:Yes, Year:Sophomore, Age:19
ID:511, Name:Jhordan, Major:ME, Enrollment:No, Year:Sophomore, Age:19
ID:416, Name:Kiari, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:549, Name:Jeremiah, Major:CHE, Enrollment:No, Year:Freshman, Age:20
ID:405, Name:Maisha, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:542, Name:Reshad, Major:ME, Enrollment:No, Year:Freshman, Age:20
ID:452, Name:Aarian, Major:BME, Enrollment:No, Year:Sophomore, Age:20
ID:348, Name:Dalayza, Major:CHE, Enrollment:Yes, Year:Senior, Age:20
ID:11, Name:Riley, Major:ABE, Enrollment:No, Year:Junior, Age:20
ID:21, Name:Tyre, Major:AA, Enrollment:Yes, Year:Junior, Age:20
ID:496, Name:Shabazz, Major:ECE, Enrollment:No, Year:Freshman, Age:20
ID:49, Name:Yuxin, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:554, Name:Braelyn, Major:IE, Enrollment:No, Year:Sophomore, Age:20
ID:577, Name:Bisharo, Major:IE, Enrollment:No, Year:Sophomore, Age:20
ID:578, Name:Kc, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:552, Name:Yiddy, Major:CS, Enrollment:Yes, Year:Senior, Age:20
ID:40, Name:Zymarion, Major:ME, Enrollment:Yes, Year:Sophomore, Age:20
