ID:405, Name:Annahi, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:393, Name:Mordechai, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:406, Name:Adriel, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:228, Name:Haidynn, Major:CHE, Enrollment:No, Year:Senior, Age:10
ID:84, Name:Kerstin, Major:CHE, Enrollment:No, Year:Senior, Age:10
ID:389, Name:Jaselle, Major:BME, Enrollment:Yes, Year:Junior, Age:10
ID:675, Name:Jhourni, Major:AA, Enrollment:Yes, Year:Senior, Age:10
ID:698, Name:Teja, Major:ME, Enrollment:Yes, Year:Senior, Age:10
ID:107, Name:Arif, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:291, Name:Greyden, Major:IE, Enrollment:Yes, Year:Senior, Age:10
ID:218, Name:Cristen, Major:CS, Enrollment:Yes, Year:Freshman, Age:10
ID:267, Name:Sophiea, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:507, Name:Tennessee, Major:ECE, Enrollment:No, Year:Junior, Age:10
ID:420, Name:Aviyon, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:568, Name:Tymon, Major:ME, Enrollment:No, Year:Sophomore, Age:10
ID:635, Name:Celeste, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:165, Name:Josedaniel, Major:CS, Enrollment:No, Year:Sophomore, Age:10
ID:237, Name:Soham, Major:CS, Enrollment:Yes, Year:Senior, Age:10
ID:353, Name:Jon, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:193, Name:Gerrick, Major:ECE, Enrollment:No, Year:Freshman, Age:10
ID:194, Name:Taylon, Major:IE, Enrollment:Yes, Year:Junior, Age:10
ID:192, Name:Derrion, Major:AA, Enrollment:Yes, Year:Junior, Age:10
ID:15, Name:Teigan, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:74, Name:Zanyia, Major:AA, Enrollment:Yes, Year:Senior, Age:10
ID:160, Name:Caren, Major:ME, Enrollment:Yes, Year:Freshman, Age:10
ID:585, Name:Shayne, Major:CHE, Enrollment:Yes, Year:Freshman, Age:11
ID:68, Name:Ontario, Major:CHE, Enrollment:No, Year:Junior, Age:11
ID:233, Name:Lovina, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:477, Name:Yaciel, Major:IE, Enrollment:Yes, Year:Junior, Age:11
ID:79, Name:Divleen, Major:BME, Enrollment:No, Year:Sophomore, Age:11
ID:77, Name:Samayra, Major:CS, Enrollment:No, Year:Senior, Age:11
ID:278, Name:Rael, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:223, Name:Jacobie, Major:AA, Enrollment:No, Year:Senior, Age:11
ID:94, Name:Aimee, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:282, Name:Abdiaziz, Major:CS, Enrollment:No, Year:Junior, Age:11
ID:481, Name:Anavi, Major:ECE, Enrollment:Yes, Year:Freshman, Age:11
ID:621, Name:Jadelyn, Major:ECE, Enrollment:Yes, Year:Freshman, Age:11
ID:369, Name:Kylaya, Major:ABE, Enrollment:No, Year:Freshman, Age:11
ID:191, Name:Nicki, Major:IE, Enrollment:No, Year:Junior, Age:11
ID:154, Name:Tylaysia, Major:IE, Enrollment:No, Year:Senior, Age:11
ID:370, Name:Yoseph, Major:ME, Enrollment:Yes, Year:Freshman, Age:11
