ID:310, Name:Sunday, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:351, Name:Zaniyah, Major:BME, Enrollment:Yes, Year:Junior, Age:10
ID:770, Name:Perseus, Major:IE, Enrollment:Yes, Year:Freshman, Age:10
ID:229, Name:Umi, Major:BME, Enrollment:Yes, Year:Senior, Age:10
ID:776, Name:Huxley, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:567, Name:Kassidie, Major:AA, Enrollment:Yes, Year:Sophomore, Age:10
ID:941, Name:Jemini, Major:IE, Enrollment:Yes, Year:Junior, Age:10
ID:842, Name:Tayem, Major:CS, Enrollment:Yes, Year:Senior, Age:10
ID:956, Name:Aviannah, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:754, Name:Winslow, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:411, Name:Shem, Major:ECE, Enrollment:Yes, Year:Freshman, Age:10
ID:354, Name:Dublin, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:574, Name:Stanley, Major:ECE, Enrollment:No, Year:Freshman, Age:10
ID:277, Name:Brix, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:926, Name:Kayna, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:924, Name:Maile, Major:ABE, Enrollment:No, Year:Junior, Age:10
ID:818, Name:Jocie, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:128, Name:Emmit, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:828, Name:Aydenn, Major:CS, Enrollment:No, Year:Sophomore, Age:10
ID:820, Name:Luis, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:778, Name:Emilyann, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:106, Name:Maicie, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:45, Name:Nazneen, Major:ME, Enrollment:Yes, Year:Junior, Age:10
ID:940, Name:Advita, Major:CS, Enrollment:No, Year:Junior, Age:10
ID:830, Name:Sofija, Major:AA, Enrollment:Yes, Year:Junior, Age:10
ID:831, Name:Kekeli, Major:ABE, Enrollment:No, Year:Freshman, Age:10
ID:109, Name:Browning, Major:ME, Enrollment:No, Year:Senior, Age:10
ID:626, Name:Jazalynn, Major:ABE, Enrollment:Yes, Year:Freshman, Age:10
ID:694, Name:Janiyah, Major:BME, Enrollment:No, Year:Junior, Age:10
ID:703, Name:Fadi, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:262, Name:Brahms, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:255, Name:Emalynn, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:203, Name:Kristel, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:590, Name:Royal, Major:AA, Enrollment:Yes, Year:Junior, Age:10
ID:860, Name:Harjot, Major:AA, Enrollment:No, Year:Junior, Age:10
ID:993, Name:Damiah, Major:ABE, Enrollment:No, Year:Sophomore, Age:10
ID:372, Name:Jersie, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:615, Name:Maddux, Major:ABE, Enrollment:No, Year:Senior, Age:10
ID:218, Name:Skyelyn, Major:IE, Enrollment:Yes, Year:Junior, Age:10
ID:494, Name:Karalyn, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:632, Name:Xania, Major:IE, Enrollment:No, Year:Freshman, Age:10
ID:752, Name:Alexius, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:183, Name:Shahed, Major:BME, Enrollment:No, Year:Junior, Age:10
ID:580, Name:Holland, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:742, Name:Makailah, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:739, Name:Vail, Major:CS, Enrollment:No, Year:Freshman, Age:10
